maintenance_id,equipment_id,maintenance_type,start_datetime,end_datetime,duration_hours,status,technician_id,description,parts_cost,labor_cost,total_cost,next_maintenance_date,breakdown_cause,resolution,quality_check_status
11,46,Поточний ремонт,2023-03-29,2023-03-29 11:05:17.502184,11.088195051239015,Відкладено,73,"Загроза наступати танцювати розлад бочок. Юний рішення аж упустити навіщо торгівля.
Вивчити хліб конструкція перетнути скинути сонце. Від'Їзд вітати який зображати.",4417.0,4171.13,8588.130000000001,2023-06-27 11:05:17.502184,,,Очікує
12,22,Аварійний ремонт,2023-06-15,2023-06-15 15:32:10.083446,15.536134290646372,Заплановано,84,Кут груди рис дівка тютюн бігати. Провал салон інший ґудзик висіти дрімати зрідка. Голубчик крутий небезпека прохід вітати гуляти.,7946.88,3409.24,11356.119999999999,2024-06-14 15:32:10.083446,Відмова системи охолодження,Модернізація вузла,Очікує
13,19,Аварійний ремонт,2023-09-09,2023-09-09 19:35:48.664232,19.596851175518754,В процесі,188,Природний факультет жорстокий падати простір район другий. Рот прихований знищення головка поява збільшуватися інтернет.,8851.5,5226.26,14077.76,2024-09-08 19:35:48.664232,Відмова системи охолодження,Перепрограмування,Пройдено
14,14,Капітальний ремонт,2023-10-27,2023-10-28 20:49:54.276177,44.83174338252772,В процесі,60,Обуритися покинути нестерпний реклама наштовхнутися висловлюватися єврейський слати. Занадто дошлий знімати мʼята. Пропаганда мимо через насолода а.,20465.38,18432.57,38897.95,2023-11-27 20:49:54.276177,,,Пройдено
15,4,Планове обслуговування,2023-01-24,2023-01-24 04:53:46.198487,4.896166246308609,Завершено,48,"Актриса труп спалити в'язниця мета покинути насолода. Лівий потрясти насолода. Від'Їзд фахівець порода плід страта закласти космос.
Кордон єдиний хліб бетонний затримати.",9683.94,1056.84,10740.78,2023-07-23 04:53:46.198487,,,Потребує перевірки
16,49,Поточний ремонт,2024-04-11,2024-04-11 12:10:19.694526,12.172137368296891,Завершено,47,Олівець гіркий лапа покоління здригнутися інтернет військовий. Угодний розкішний народ викинути. Хлопчисько господь багаття залучати.,5158.5599999999995,2173.28,7331.84,2024-07-10 12:10:19.694526,,,Пройдено
17,37,Планове обслуговування,2024-01-05,2024-01-05 03:06:01.923794,3.100534387269219,Завершено,10,Художній точно господиня важливий нарада інфекція. Й прелесть ніж квапливий. Блискучий ягода безглуздий виражений. Міркування господь несподівано легко кпсс польовий поїзд комунізм.,5379.12,1929.4,7308.52,2025-01-04 03:06:01.923794,,,Очікує
18,37,Поточний ремонт,2024-08-30,2024-08-30 14:42:19.426904,14.705396362094225,Відкладено,30,Вчора розкішний за збудження ґазда. Бігати хата о упор полум'я.,5674.57,4867.77,10542.34,2025-08-30 14:42:19.426904,,,Потребує перевірки
19,28,Капітальний ремонт,2024-10-25,2024-10-26 13:50:32.676212,37.842410058952325,Заплановано,30,"Колишній коробка так сонце. Скинути епоха самостійно навряд потягнутися поріг застосовуватися хлопчисько.
Сміття олівець функція інший міра. Здригатися раніше рота написати функція.",26920.19,6216.71,33136.9,2025-01-24 13:50:32.676212,,,Очікує
20,40,Аварійний ремонт,2023-09-30,2023-09-30 13:11:11.756379,13.186598994275137,Завершено,11,Зміна бригада виконувати тютюн покоління шкарпетка похорон образа. Міркування зрозумілий конструкція підлога отже. Брову відповідність робочий.,4695.43,7778.91,12474.34,2024-09-29 13:11:11.756379,Перевантаження,Регулювання,Потребує перевірки
21,44,Капітальний ремонт,2023-04-08,2023-04-10 14:43:23.645055,62.72323473745682,Відкладено,11,"Перетнути кут адвокат болото вибирати перетнути. Діставати образа лівий.
Ґудзик правильний щур пропаганда пробувати бетонний. Зелений наполегливо головний закласти.",29805.87,8000.1,37805.97,2023-06-09 14:43:23.645055,,,Пройдено
22,39,Аварійний ремонт,2023-09-01,2023-09-01 12:12:30.860894,12.20857247050813,Відкладено,101,Потрясти бетонний банк хід колишній мати інструкція. Повністю кут факультет тривога ленінград.,19034.6,5241.57,24276.17,2023-11-30 12:12:30.860894,Знос деталей,Заміна компонентів,Потребує перевірки
23,35,Капітальний ремонт,2024-10-02,2024-10-03 20:20:40.657698,44.34462713831272,Завершено,1,Метал безпорадний художній мати зупинити. Правління картинка самостійно спосіб здригнутися небезпека. Заборонити низький головний похорон порада.,18901.940000000002,18175.35,37077.29,2024-12-02 20:20:40.657698,,,Потребує перевірки
24,32,Капітальний ремонт,2023-09-12,2023-09-13 16:18:49.099537,40.3136387602912,Відкладено,92,Витягувати застосовуватися висіти щастя дрімати забирати. Інфекція витягувати пристойний слати співати ніч мета. Червонй природа секунда мета навряд камінчик червʼяк перебивати.,15510.84,18512.86,34023.7,2023-10-13 16:18:49.099537,,,Пройдено
25,9,Аварійний ремонт,2023-02-25,2023-02-25 19:45:53.646897,19.764901915819326,Відкладено,188,"Вказаний штаб прелесть гіркий. Жити район друкувати теорія.
Терапія рішення сміття бак кордон. Простір міра радити голубчик спорт. Наполегливо один червʼяк червень що здалеку вивчити.",17775.24,4903.67,22678.910000000003,2023-04-26 19:45:53.646897,Людський фактор,Модернізація вузла,Пройдено
26,24,Поточний ремонт,2024-10-29,2024-10-29 08:32:26.438496,8.540677359968296,В процесі,188,"Палець салон метелик паща висіти відзначити відзначити. Пані розуміти актриса.
Прошепотіти даль тютюн пастух гіркий низький загроза здригнутися. Функція заробити падати купа виблискувати.",7213.0,1174.48,8387.48,2025-04-27 08:32:26.438496,,,Пройдено
27,9,Аварійний ремонт,2024-01-07,2024-01-07 23:44:41.431982,23.744842217139276,В процесі,73,"Намір падати присісти триста сонце рис банда.
Призначити доба поява заспокоїтися бок.",2683.43,2590.34,5273.77,2024-03-07 23:44:41.431982,Відмова системи охолодження,Заміна компонентів,Потребує перевірки
28,36,Поточний ремонт,2024-11-02,2024-11-02 08:47:51.240485,8.797566801475634,В процесі,72,Чітко похорон так заклик. Мить означати болісно зрозумілий розстебнути вітрина. Самостійно зупинити кордон заклад.,10028.42,2924.02,12952.44,2025-11-02 08:47:51.240485,,,Потребує перевірки
29,34,Аварійний ремонт,2024-09-22,2024-09-22 07:07:20.598627,7.122388507558665,Заплановано,105,Загроза падати друкувати висловлюватися. Підлога неправда несподівано робочий прірва.,13019.32,7219.31,20238.63,2024-10-22 07:07:20.598627,Збій електроніки,Регулювання,Пройдено
30,42,Планове обслуговування,2023-06-17,2023-06-17 05:25:16.862206,5.421350612704305,Завершено,72,"Черговий важливий теорія досліджено житель ліхтарик. Військовий правий забирати польовий крутий спалити адвокат.
Вітати тута райком вскакивать ремінь. Зображати польовий виражений адвокат надати.",4623.15,1398.03,6021.179999999999,2023-08-16 05:25:16.862206,,,Очікує
31,41,Планове обслуговування,2024-05-27,2024-05-27 03:19:00.214193,3.3167261646187614,Відкладено,1,Команда дорогий подвірʼя прем'єра палець іспит. Прошепотіти мить спасти виражений. Протягувати заробити ніж міра пісенька спорт благати ручка.,3746.46,632.18,4378.64,2025-05-27 03:19:00.214193,,,Пройдено
32,47,Планове обслуговування,2024-07-06,2024-07-06 03:13:00.171296,3.216714248845448,Завершено,47,ПірʼЯ знімати отже командувач червонй можливо падати. Вказаний реклама вчений пристрасть прошепотіти. Степ отже червень монета виражений кільце в'язниця.,1957.16,1587.47,3544.63,2024-09-04 03:13:00.171296,,,Потребує перевірки
33,32,Капітальний ремонт,2023-09-12,2023-09-13 14:06:15.860193,38.10440560924466,Відкладено,68,Радити закласти взагалі зарплата кора зелений кишеня аналіз. Радість багаття недолік новий п'ятеро розуміти вигнати.,8297.17,8105.72,16402.89,2023-10-13 14:06:15.860193,,,Потребує перевірки
34,3,Капітальний ремонт,2024-03-21,2024-03-22 02:05:55.759598,26.098822110637165,Завершено,84,Хід другий труп банк услати. Заспокоїтися тривога полюбити колектив наштовхнутися.,8587.130000000001,6980.1,15567.230000000001,2024-04-21 02:05:55.759598,,,Пройдено
35,22,Поточний ремонт,2023-02-19,2023-02-19 06:14:13.087122,6.236968645003598,В процесі,76,"Плавно спорт здригатися настати подвірʼя благати синок мотоцикл. Щастя соціалістичний тривога прохід зрідка рішення прохід.
Крутий конференція щур. Поставити тривога грати олівець.",19267.0,2409.56,21676.56,2024-02-19 06:14:13.087122,,,Очікує
36,21,Планове обслуговування,2024-09-05,2024-09-05 02:26:55.096363,2.448637878535882,Заплановано,29,Висіти свіжий склянка. Число штаб небезпека реклама нестерпний плавно виконувати. Дрібниця незвичайний валюта свіжий банк темніти підземний.,2273.84,1908.09,4181.93,2024-12-04 02:26:55.096363,,,Пройдено
37,29,Аварійний ремонт,2023-07-18,2023-07-18 03:52:09.344490,3.869262358461573,Заплановано,73,"Несподівано підкинути ленінград вечір видимо. Уточнити радість головка вечір.
Відповідність аж аналіз забирати шкільний міра байдужий від'їзд. Очко синок підкинути виконувати.",9148.08,6050.45,15198.529999999999,2023-10-16 03:52:09.344490,Людський фактор,Модернізація вузла,Очікує
38,44,Аварійний ремонт,2023-05-04,2023-05-04 12:04:08.631839,12.06906439983493,В процесі,76,"Оборот соціалістичний співати більше прем'єра пісня обуритися. Раніше інший картинка шкіра червʼяк.
Зміна танцювати пропаганда болісно намір засунути адже. Серйозний палиця заклад.",2775.93,7715.17,10491.1,2023-07-03 12:04:08.631839,Відмова системи охолодження,Очистка системи,Пройдено
39,9,Капітальний ремонт,2024-12-26,2024-12-28 13:56:27.360597,61.94093349903212,Завершено,105,Протягувати вітрина крутий виблискувати. Олівець кордон ідея летіти армійський радити чотири. Звільнити прощення перед.,22819.48,14096.73,36916.21,2025-02-26 13:56:27.360597,,,Очікує
40,43,Планове обслуговування,2023-02-20,2023-02-20 02:41:27.510032,2.690975009010967,В процесі,51,"Конференція команда пісня степ щось будівництво обуритися інший. Нестерпний господь вечір чоловічок.
Загроза витягувати знаходити кут зрозумілий метал при. Торгівля прелесть синок прірва.",4540.52,1668.32,6208.84,2024-02-20 02:41:27.510032,,,Пройдено
41,39,Планове обслуговування,2023-02-17,2023-02-17 07:20:55.189382,7.348663717117542,Завершено,10,Результат черевик почуття відповідність домогтися. Салон сміливий паща полюбити вигнати від'їзд. Пісня функція покоління чоловічок плавно.,1460.33,1690.49,3150.8199999999997,2023-05-18 07:20:55.189382,,,Потребує перевірки
42,19,Капітальний ремонт,2024-12-17,2024-12-18 20:20:10.652430,44.3362923415369,Завершено,100,Адже ставити ковзати один жити друкувати. Лапа пісенька ґазда.,13714.31,10598.8,24313.11,2025-12-18 20:20:10.652430,,,Очікує
43,26,Поточний ремонт,2024-08-21,2024-08-21 09:28:38.545848,9.477373846552112,Відкладено,30,Кордон несподівано інший шолом спорт кора ліхтарик колишній. Податковий відповідність виблискувати мить ленінград багряний.,12269.07,4162.2,16431.27,2024-09-20 09:28:38.545848,,,Потребує перевірки
44,16,Аварійний ремонт,2024-09-08,2024-09-08 12:12:30.754937,12.208543038192463,Заплановано,105,"Порівняння пропадати крутий протягувати закласти. Будівництво написати свіжий незвичний. Наполегливо написати місце яскраво кора житель.
Адвокат викинути шкільний діставати. Услати серйозний радити.",11414.86,3106.1,14520.960000000001,2024-11-07 12:12:30.754937,Перевантаження,Заміна компонентів,Потребує перевірки
45,43,Капітальний ремонт,2023-07-03,2023-07-05 04:18:27.534955,52.3076485984832,Відкладено,84,Співрозмовник свіжий вираз пропадати адже означати. Легко квапливий другий при склянка пані. Правильний можливо вечір хлопець прірва раніше залучати.,21952.63,18728.86,40681.490000000005,2024-07-04 04:18:27.534955,,,Очікує
46,28,Капітальний ремонт,2023-10-10,2023-10-12 03:06:44.988206,51.11249672384092,В процесі,130,Упустити монета вітрина упустити робочий ніж бетонний. Деякий занадто степ. Отже ленінград тисяча єврейський.,25206.02,11691.52,36897.54,2024-01-10 03:06:44.988206,,,Потребує перевірки
47,23,Поточний ремонт,2024-11-14,2024-11-14 15:04:54.907124,15.081918645465963,Відкладено,48,Забирати гроші зображати військовий встати. Актриса багряний кора рис рис спалити направо діставати.,5682.64,2020.28,7702.92,2025-05-13 15:04:54.907124,,,Потребує перевірки
48,2,Поточний ремонт,2024-11-11,2024-11-11 15:35:26.491035,15.590691954158928,В процесі,101,Інший небезпека видимо діловий вмирати черевик шкарпетка. Рот дихання художній прощення зате.,4527.29,3491.28,8018.57,2025-11-11 15:35:26.491035,,,Пройдено
49,15,Аварійний ремонт,2024-06-12,2024-06-12 23:34:11.962512,23.569989586710943,Заплановано,105,Тьмяний палиця ставити податковий свіжий солома білизна. Тютюн демократія похмуро вітрина плід присісти. Єврейський безпорадний прихований виникнення каюта.,437.02,8276.2,8713.220000000001,2024-08-11 23:34:11.962512,Людський фактор,Перепрограмування,Потребує перевірки
50,28,Аварійний ремонт,2024-06-05,2024-06-05 04:16:46.571433,4.2796031758843025,Завершено,10,"Штаб шкарпетка свіжий лапа через актриса.
Полюбити плавно заплакати через дихання за природний.
Сумний здалеку зображати присвятити.",4895.71,5616.95,10512.66,2024-09-03 04:16:46.571433,Відмова системи охолодження,Регулювання,Пройдено
51,50,Капітальний ремонт,2023-07-09,2023-07-11 09:56:24.373598,57.940103777224074,Заплановано,84,Фахівець підземний ґудзик щур інфекція потягнутися. Вечір дружно спалити підземний танцювати правильний. Звільнення обуритися шкільний факультет.,20900.61,13766.09,34666.7,2023-09-09 09:56:24.373598,,,Пройдено
52,26,Поточний ремонт,2024-06-07,2024-06-07 11:14:50.246170,11.247290602868757,Завершено,92,"Склянка господиня холодно ніч білизна функція бочок. Ґазда навіщо похорон натиснути тютюн.
Скинути уникати академік увійти. Летіти метал аж покоління. Житель матерія пробувати тьмяний доба редактор.",17246.010000000002,2715.22,19961.230000000003,2024-07-07 11:14:50.246170,,,Потребує перевірки
53,13,Поточний ремонт,2023-03-01,2023-03-01 07:46:19.188924,7.7719969234447,В процесі,1,Забирати зате пробувати подробиця відповісти торгівля. Вперед зарплата шкільний століття помовчати.,8338.52,4656.85,12995.37,2023-05-30 07:46:19.188924,,,Потребує перевірки
54,7,Аварійний ремонт,2024-09-24,2024-09-24 21:00:19.772459,21.005492349740276,Заплановано,73,"Заклик падати низький благати. Рішення дорогий блін обуритися вмирати сміття бажання. Тьмяний купа угодний.
Виднітися відповідність розвернутися рот почуття при палата.",3420.03,9826.76,13246.79,2025-03-23 21:00:19.772459,Відмова системи охолодження,Регулювання,Потребує перевірки
55,34,Поточний ремонт,2024-01-25,2024-01-25 09:38:05.856587,9.634960162986754,Заплановано,135,Червень паща благати вчора сумнівний ґаздиня. Виражений хата жорстокий. Близько шкільний шкарпетка наполегливо слати.,15233.85,2953.27,18187.12,2024-02-24 09:38:05.856587,,,Пройдено
56,8,Поточний ремонт,2024-02-08,2024-02-08 10:23:07.551190,10.385430886084329,В процесі,11,Ковзати ламати підлога вітрина вскакивать блін. Ніж правління кпсс вітрина. Медицина виблискувати услати сміливий.,5861.18,2920.01,8781.19,2024-08-06 10:23:07.551190,,,Потребує перевірки
57,11,Капітальний ремонт,2023-12-07,2023-12-09 19:46:12.601617,67.77016711595905,Заплановано,44,Шкіра порода ручка зелений єврейський. Зате падати ламати близько труп роса банк.,14914.05,15576.42,30490.47,2024-12-08 19:46:12.601617,,,Очікує
58,28,Планове обслуговування,2023-04-17,2023-04-17 03:47:06.436591,3.7851212754045394,Завершено,11,"Затримати пристрасть викинути редактор міф демократія. Господиня синок виникнення ґудзик кора болото.
Порівняння близько казна-хто через даль провінція залучати.",4459.72,1917.18,6376.900000000001,2023-07-16 03:47:06.436591,,,Потребує перевірки
59,47,Капітальний ремонт,2024-08-17,2024-08-18 17:29:01.056943,41.4836269285575,Заплановано,158,Підкинути здригнутися витягувати навряд важливий діставати. Дрімати натиснути колишній падати навіщо хата відповісти. Сміятися нестерпний епоха слати отже камінчик ґазда байдужий.,14144.41,16968.32,31112.73,2024-10-17 17:29:01.056943,,,Очікує
60,21,Планове обслуговування,2023-06-29,2023-06-29 07:13:23.501656,7.223194904390023,Заплановано,133,Інтелектуальний перебивати страта неправда здригатися. Монета безпорадний бок спосіб висловлюватися. Нині робочий правильний трубка супроводжуватися.,3813.68,1079.25,4892.93,2023-09-27 07:13:23.501656,,,Потребує перевірки
61,19,Планове обслуговування,2024-05-04,2024-05-04 04:51:22.846627,4.856346285369705,Заплановано,84,"Витримати космос міф заспівати розуміти настати міра.
Терапія від'їзд ковзати рішення космос висіти.",7289.47,1162.01,8451.48,2025-05-04 04:51:22.846627,,,Очікує
62,10,Поточний ремонт,2023-08-29,2023-08-29 15:57:00.576273,15.950160075726547,Завершено,76,Вигнати щастя ефект брову зупинити уникати. Висіти благати отже більше коробка. Сміятися дорогий вчений нервово.,11452.05,3093.1,14545.15,2023-11-27 15:57:00.576273,,,Очікує
63,20,Планове обслуговування,2023-08-29,2023-08-29 06:40:17.479162,6.671521989461274,В процесі,44,Іспит затримати танцювати так заклик каюта один. Що бочок небезпека витягувати.,3642.86,1310.6,4953.46,2024-08-28 06:40:17.479162,,,Пройдено
64,19,Поточний ремонт,2024-12-06,2024-12-06 12:50:28.067120,12.84112975544181,Відкладено,130,Дівка факультет правий заборонити кидати. Картинка передо нога кора приходити.,6484.57,4411.26,10895.83,2025-12-06 12:50:28.067120,,,Потребує перевірки
65,12,Поточний ремонт,2024-07-06,2024-07-06 05:09:46.115255,5.162809793037224,В процесі,72,Інвалід передо спорт вибирати. Реклама діставати розлад. Функція знищення зупинити рішення вітрина дошлий діставати.,2018.69,4872.21,6890.9,2025-07-06 05:09:46.115255,,,Потребує перевірки
66,33,Аварійний ремонт,2024-08-09,2024-08-09 22:03:12.626214,22.05350728156533,Завершено,29,"Червонй яскраво єврейський правління інтелектуальний пити. Князь червонй роса склянка розгубитися камінчик.
Порода ніч встати пристрій медицина роса космос. Перетнути холодно потрясти зміна.",1320.98,5079.36,6400.34,2025-02-05 22:03:12.626214,Перевантаження,Перепрограмування,Очікує
67,17,Капітальний ремонт,2023-12-30,2024-01-01 22:45:04.991288,70.75138646892158,Заплановано,142,Головний доба очко байдужий. Мимо правління каюта зрозумілий провал порада зате. Фахівець похорон інвалід крутий диявол.,10338.89,9200.69,19539.58,2024-01-31 22:45:04.991288,,,Очікує
68,10,Планове обслуговування,2023-06-07,2023-06-07 05:25:18.428198,5.421785610602596,Відкладено,30,"Аналіз мета польовий даль гроші червонй мимо. Закласти мить написати армійський простір палата. Конференція ніч хата метелик.
Солома розводити черевик академік. Й передо висіти щось хата.",1577.97,506.28,2084.25,2023-09-05 05:25:18.428198,,,Пройдено
69,43,Капітальний ремонт,2024-12-11,2024-12-13 04:46:39.438007,52.777621668498824,Відкладено,48,Грати виражений прірва вмирати. Несподіваний заява поява ягода самостійно залучати єдиний. Ніч командувач обуритися головка занадто.,23283.8,9562.32,32846.119999999995,2025-12-13 04:46:39.438007,,,Пройдено
70,20,Планове обслуговування,2024-12-14,2024-12-14 02:48:45.253328,2.8125703688100767,Відкладено,199,Перетнути жити червонй.,7578.03,1083.82,8661.85,2025-12-14 02:48:45.253328,,,Очікує
71,30,Планове обслуговування,2024-12-26,2024-12-26 05:20:17.513323,5.338198145393654,Відкладено,72,Упустити скинути розгубитися прелесть чітко занадто. Зима звільнення монета означати незручно правий розводити близько.,7714.05,1498.8,9212.85,2025-03-26 05:20:17.513323,,,Пройдено
72,6,Аварійний ремонт,2024-03-29,2024-03-29 01:06:07.143468,1.1019842967011115,Відкладено,51,Брову струмок монета безпорадний черговий шкільний. Ліловий спорт ґудзик страта прем'єра. Ламати через сумнівний танцювати трясти адвокат.,2114.05,3464.95,5579.0,2024-05-28 01:06:07.143468,Знос деталей,Перепрограмування,Пройдено
73,17,Капітальний ремонт,2023-05-26,2023-05-27 09:55:55.642479,33.93212291084777,Відкладено,199,"Натиснути щось жити конференція зелений.
Прощення висловлюватися важливий. Інший недолік команда. Бригада шкіра салон повністю свіжий.",17928.19,6592.77,24520.96,2023-06-26 09:55:55.642479,,,Очікує
74,16,Планове обслуговування,2024-01-28,2024-01-28 07:02:11.059007,7.036405279614717,Завершено,135,Співрозмовник тривога подвірʼя мільярд триста мигнути розуміти. Задерти хліб слати близько запустити кора. Промовчати раніше народ.,3596.1400000000003,662.86,4259.0,2024-03-28 07:02:11.059007,,,Потребує перевірки
75,12,Поточний ремонт,2024-11-24,2024-11-24 14:34:27.123770,14.574201047176942,Заплановано,133,Чотири спасти решітка щось покидати блискучий армійський. Виблискувати чоловічок ніж вивчити виконувати гараж.,5639.49,4239.54,9879.029999999999,2025-11-24 14:34:27.123770,,,Очікує
76,22,Поточний ремонт,2023-09-05,2023-09-05 09:50:32.367513,9.842324309202338,В процесі,105,"Основа важкий торгівля підземний свіжий князь. Головний зарплата фахівець натиснути отже жити.
Несподівано залучати пірʼя м'який мета відповідність. Даль похорон виражений результат дошлий надати.",3621.21,2008.44,5629.65,2024-09-04 09:50:32.367513,,,Потребує перевірки
77,26,Аварійний ремонт,2024-11-29,2024-11-29 22:31:42.997780,22.528610494435853,Відкладено,51,Правління виконувати холодно пропадати крутий армійський. За прошепотіти ламати чоловічок забирати загроза раніше передо. Лапа термін близько єдиний єврейський термін район.,1832.23,8377.03,10209.26,2024-12-29 22:31:42.997780,Збій електроніки,Заміна компонентів,Потребує перевірки
78,21,Капітальний ремонт,2023-10-15,2023-10-17 23:09:11.600381,71.1532223280058,Заплановано,48,Черговий грати очко. Вовк задерти запустити господь досліджено важкий.,8350.74,19287.24,27637.980000000003,2024-01-15 23:09:11.600381,,,Очікує
79,18,Планове обслуговування,2023-11-07,2023-11-07 06:35:29.839005,6.591621945725311,Заплановано,73,"Рішення один хліб заборонити жорстокий розуміти здригатися. Роса яскраво надати застосовуватися пристрій. Правильний функція виражений шкарпетка кишеня зате прощення бажання.
Наступати степ поріг.",11518.58,1495.84,13014.42,2024-05-05 06:35:29.839005,,,Пройдено
80,41,Аварійний ремонт,2023-11-08,2023-11-08 03:17:34.771368,3.292992046665083,Завершено,199,Вечір свіжий а приятель зупинити прошепотіти вивчити. Зображати покидати бочок плавно. Незвичний єврейський фахівець зарплата.,14161.39,2268.67,16430.059999999998,2024-11-07 03:17:34.771368,Збій електроніки,Регулювання,Пройдено
81,47,Поточний ремонт,2023-10-29,2023-10-29 06:55:36.524862,6.926812461748345,Відкладено,48,"Висіти тьмяний радість рішення зате рішення мета.
Страта валюта о ламати кут.
Зарплата триста інший друкувати пропадати адже.",6283.93,1319.48,7603.41,2023-12-28 06:55:36.524862,,,Потребує перевірки
82,34,Поточний ремонт,2023-12-11,2023-12-11 07:46:31.165661,7.775323794778883,В процесі,44,"Палата сумнівний означати наштовхнутися встати. Матерія прем'єра затримати прохід спосіб заклад.
Синок поставити функція актриса монета поява місце. Ніч один академік серйозний.",2096.44,2292.72,4389.16,2024-01-10 07:46:31.165661,,,Пройдено
83,35,Поточний ремонт,2023-12-09,2023-12-09 08:37:30.571027,8.62515861864284,В процесі,199,Викинути редактор покидати диявол бочок. Сміливий покидати синок матерія за танцювати. Заробити кпсс інший порт степ бетонний.,5615.719999999999,3985.42,9601.14,2024-02-07 08:37:30.571027,,,Потребує перевірки
84,34,Планове обслуговування,2023-05-09,2023-05-09 06:27:47.255254,6.463126459429582,Відкладено,44,Потім прошепотіти забирати небезпека почуття решітка. Збільшуватися сумний надати вказаний триста. Передо написати навіщо народ сходити перетнути єврейський.,4400.6900000000005,1417.57,5818.26,2023-06-08 06:27:47.255254,,,Очікує
85,15,Аварійний ремонт,2024-09-27,2024-09-27 11:20:31.385983,11.342051662068728,Відкладено,76,Господь лягати засунути бок місце. Боєць боєць угодний натиснути зелений. Ремінь один скинути ремінь здалеку художній.,9479.52,4474.07,13953.59,2024-11-26 11:20:31.385983,Знос деталей,Перепрограмування,Пройдено
86,41,Поточний ремонт,2024-12-14,2024-12-14 13:59:58.747981,13.999652216952816,Завершено,51,Струмок червʼяк розвинений червень синок колектив о взагалі. Коваль збільшуватися валюта звільнити порода.,12298.61,2195.75,14494.36,2025-12-14 13:59:58.747981,,,Пройдено
87,41,Поточний ремонт,2024-05-20,2024-05-20 05:16:08.324257,5.268978960206354,Заплановано,60,МʼЯта й єдиний процес відділ рішення. Тьмяний рот колектив кпсс перетнути робочий. Низький висловлюватися сходити єдиний приятель.,6831.02,1198.04,8029.06,2025-05-20 05:16:08.324257,,,Пройдено
