inventory_id,product_id,warehouse,record_date,quantity_on_hand,min_stock_level,max_stock_level,reorder_point,unit_cost,total_value,last_count_date,storage_location,status
28,71,Склад готової продукції,2023-10-22,132,50,150,75.0,2516.25,332145.0,2023-09-22,Ряд 15-Стелаж 19-Позиція 3,Критичний запас
29,16,Склад матеріалів,2024-05-10,31,50,150,75.0,4994.83,154839.73,2024-04-18,Ряд 17-Стелаж 45-Позиція 10,Низький запас
30,58,Склад матеріалів,2023-06-14,15,16,48,24.0,3628.33,54424.95,2023-05-23,Ряд 11-Стелаж 49-Позиція 8,Надлишок
31,82,Головний склад,2024-01-17,38,45,135,67.5,2390.64,90844.31999999999,2023-12-31,Ряд 14-Стелаж 11-Позиція 2,Надлишок
32,29,Склад готової продукції,2024-09-27,2,34,102,51.0,1906.69,3813.38,2024-09-25,Ряд 10-Стелаж 20-Позиція 3,Надлишок
33,40,Склад готової продукції,2023-11-27,68,30,90,45.0,846.69,57574.920000000006,2023-11-09,Ряд 16-Стелаж 17-Позиція 1,Низький запас
34,84,Склад матеріалів,2024-04-03,8,35,105,52.5,1588.25,12706.0,2024-03-24,Ряд 16-Стелаж 40-Позиція 2,В наявності
35,20,Склад матеріалів,2024-01-05,18,16,48,24.0,1230.1,22141.8,2023-12-30,Ряд 9-Стелаж 47-Позиція 10,В наявності
36,51,Головний склад,2024-04-23,35,31,93,46.5,473.95,16588.25,2024-04-12,Ряд 5-Стелаж 4-Позиція 2,Низький запас
37,40,Склад сировини,2024-03-18,130,50,150,75.0,846.69,110069.70000000001,2024-02-21,Ряд 15-Стелаж 39-Позиція 8,Надлишок
38,90,Головний склад,2023-09-16,77,45,135,67.5,3624.88,279115.76,2023-08-22,Ряд 18-Стелаж 16-Позиція 4,Надлишок
39,29,Головний склад,2023-06-30,40,19,57,28.5,1906.69,76267.6,2023-06-23,Ряд 9-Стелаж 41-Позиція 2,Низький запас
40,36,Головний склад,2023-07-28,90,46,138,69.0,1105.87,99528.29999999999,2023-07-16,Ряд 9-Стелаж 22-Позиція 9,Критичний запас
41,79,Склад сировини,2023-04-14,94,36,108,54.0,4072.9,382852.60000000003,2023-04-07,Ряд 13-Стелаж 36-Позиція 10,Критичний запас
42,46,Склад сировини,2024-10-26,61,26,78,39.0,4479.12,273226.32,2024-09-29,Ряд 1-Стелаж 35-Позиція 3,В наявності
43,98,Головний склад,2024-12-09,97,42,126,63.0,2498.2,242325.4,2024-12-06,Ряд 8-Стелаж 34-Позиція 3,Надлишок
44,72,Склад матеріалів,2024-07-08,41,14,42,21.0,3502.21,143590.61000000002,2024-06-29,Ряд 19-Стелаж 17-Позиція 6,В наявності
45,49,Головний склад,2023-10-11,33,11,33,16.5,3084.02,101772.66,2023-09-14,Ряд 8-Стелаж 33-Позиція 3,В наявності
46,42,Склад готової продукції,2024-08-11,2,25,75,37.5,3167.49,6334.98,2024-07-28,Ряд 11-Стелаж 15-Позиція 5,В наявності
47,31,Склад сировини,2023-06-19,7,19,57,28.5,1386.6,9706.199999999999,2023-05-22,Ряд 6-Стелаж 14-Позиція 10,Надлишок
48,62,Склад готової продукції,2024-11-14,79,47,141,70.5,110.06,8694.74,2024-10-23,Ряд 6-Стелаж 6-Позиція 4,Надлишок
49,6,Головний склад,2023-10-09,42,16,48,24.0,1430.04,60061.68,2023-09-17,Ряд 8-Стелаж 9-Позиція 2,Критичний запас
50,49,Склад готової продукції,2023-03-15,8,33,99,49.5,3084.02,24672.16,2023-02-16,Ряд 15-Стелаж 43-Позиція 2,Надлишок
51,24,Головний склад,2023-12-10,65,35,105,52.5,4503.49,292726.85,2023-12-04,Ряд 6-Стелаж 39-Позиція 5,В наявності
52,95,Склад матеріалів,2024-05-07,38,16,48,24.0,1460.5,55499.0,2024-04-28,Ряд 7-Стелаж 14-Позиція 9,Надлишок
53,65,Склад готової продукції,2024-03-02,51,26,78,39.0,2305.35,117572.84999999999,2024-02-26,Ряд 4-Стелаж 20-Позиція 10,Критичний запас
54,85,Склад готової продукції,2023-09-21,4,27,81,40.5,2867.12,11468.48,2023-09-15,Ряд 1-Стелаж 40-Позиція 10,Критичний запас
55,72,Головний склад,2023-10-02,20,10,30,15.0,3502.21,70044.2,2023-09-22,Ряд 9-Стелаж 29-Позиція 1,Низький запас
56,96,Склад сировини,2024-10-23,33,19,57,28.5,2924.35,96503.55,2024-10-21,Ряд 13-Стелаж 23-Позиція 2,Низький запас
57,91,Склад матеріалів,2024-04-12,89,32,96,48.0,4371.24,389040.36,2024-03-27,Ряд 13-Стелаж 32-Позиція 7,Надлишок
58,70,Склад матеріалів,2023-11-06,65,32,96,48.0,4036.46,262369.9,2023-10-11,Ряд 4-Стелаж 2-Позиція 4,Критичний запас
59,95,Склад сировини,2023-03-20,73,25,75,37.5,1460.5,106616.5,2023-03-02,Ряд 16-Стелаж 3-Позиція 7,Надлишок
60,15,Склад готової продукції,2024-11-18,28,13,39,19.5,3577.33,100165.23999999999,2024-11-03,Ряд 7-Стелаж 11-Позиція 10,В наявності
61,72,Склад матеріалів,2023-01-20,114,40,120,60.0,3502.21,399251.94,2023-01-19,Ряд 13-Стелаж 12-Позиція 8,В наявності
62,73,Склад матеріалів,2023-09-01,15,44,132,66.0,3048.44,45726.6,2023-08-15,Ряд 17-Стелаж 5-Позиція 6,В наявності
63,37,Склад готової продукції,2023-04-22,18,37,111,55.5,4084.62,73523.16,2023-04-02,Ряд 14-Стелаж 36-Позиція 5,Критичний запас
64,75,Склад сировини,2023-04-01,20,40,120,60.0,1633.98,32679.6,2023-03-04,Ряд 17-Стелаж 43-Позиція 10,В наявності
65,23,Склад сировини,2024-07-16,81,29,87,43.5,1221.94,98977.14,2024-07-14,Ряд 13-Стелаж 45-Позиція 7,Критичний запас
66,92,Склад матеріалів,2024-03-03,50,42,126,63.0,1053.48,52674.0,2024-02-13,Ряд 19-Стелаж 38-Позиція 5,Надлишок
67,84,Склад готової продукції,2024-07-30,11,10,30,15.0,1588.25,17470.75,2024-07-17,Ряд 8-Стелаж 8-Позиція 8,В наявності
68,59,Склад готової продукції,2024-12-16,44,27,81,40.5,3862.29,169940.76,2024-11-22,Ряд 20-Стелаж 25-Позиція 10,В наявності
69,76,Склад сировини,2023-02-05,29,23,69,34.5,3684.6,106853.4,2023-01-24,Ряд 16-Стелаж 26-Позиція 9,Критичний запас
70,79,Склад готової продукції,2023-04-17,0,21,63,31.5,4072.9,0.0,2023-04-08,Ряд 14-Стелаж 48-Позиція 4,В наявності
71,41,Головний склад,2023-08-11,17,30,90,45.0,3419.58,58132.86,2023-08-09,Ряд 10-Стелаж 27-Позиція 7,Критичний запас
72,99,Головний склад,2023-10-15,137,49,147,73.5,3611.05,494713.85000000003,2023-09-24,Ряд 6-Стелаж 20-Позиція 4,Критичний запас
73,96,Головний склад,2023-07-17,26,16,48,24.0,2924.35,76033.09999999999,2023-06-18,Ряд 7-Стелаж 16-Позиція 9,Низький запас
74,32,Склад готової продукції,2024-01-22,47,26,78,39.0,2047.87,96249.89,2024-01-11,Ряд 2-Стелаж 39-Позиція 7,Критичний запас
75,62,Склад готової продукції,2023-10-02,12,42,126,63.0,110.06,1320.72,2023-09-05,Ряд 8-Стелаж 31-Позиція 4,Надлишок
76,76,Склад сировини,2023-03-10,26,28,84,42.0,3684.6,95799.59999999999,2023-02-26,Ряд 12-Стелаж 22-Позиція 6,Критичний запас
77,46,Склад матеріалів,2024-12-15,95,37,111,55.5,4479.12,425516.39999999997,2024-11-15,Ряд 10-Стелаж 31-Позиція 4,Низький запас
78,99,Склад матеріалів,2023-05-03,14,23,69,34.5,3611.05,50554.700000000004,2023-04-27,Ряд 7-Стелаж 41-Позиція 4,Надлишок
79,90,Склад готової продукції,2023-08-02,47,32,96,48.0,3624.88,170369.36000000002,2023-08-01,Ряд 20-Стелаж 36-Позиція 7,Низький запас
80,36,Склад готової продукції,2023-05-10,85,40,120,60.0,1105.87,93998.95,2023-05-04,Ряд 18-Стелаж 21-Позиція 6,Низький запас
81,25,Склад готової продукції,2024-06-19,92,49,147,73.5,1259.32,115857.43999999999,2024-05-23,Ряд 9-Стелаж 29-Позиція 8,В наявності
82,56,Склад сировини,2024-03-17,16,32,96,48.0,4906.12,78497.92,2024-02-26,Ряд 3-Стелаж 3-Позиція 4,В наявності
83,52,Склад готової продукції,2023-12-26,13,14,42,21.0,442.56,5753.28,2023-12-22,Ряд 8-Стелаж 2-Позиція 2,Надлишок
84,16,Головний склад,2023-08-24,16,35,105,52.5,4994.83,79917.28,2023-08-21,Ряд 4-Стелаж 34-Позиція 3,Критичний запас
85,18,Головний склад,2024-07-17,113,45,135,67.5,3845.22,434509.86,2024-07-07,Ряд 15-Стелаж 19-Позиція 9,Низький запас
86,90,Головний склад,2023-05-04,82,45,135,67.5,3624.88,297240.16000000003,2023-04-09,Ряд 7-Стелаж 36-Позиція 6,В наявності
87,36,Склад готової продукції,2024-07-03,68,50,150,75.0,1105.87,75199.15999999999,2024-06-20,Ряд 8-Стелаж 50-Позиція 1,Низький запас
88,26,Склад матеріалів,2024-10-31,54,24,72,36.0,4725.53,255178.62,2024-10-01,Ряд 17-Стелаж 8-Позиція 7,Критичний запас
89,8,Склад готової продукції,2024-10-19,45,33,99,49.5,4806.79,216305.55,2024-09-21,Ряд 1-Стелаж 20-Позиція 10,Надлишок
90,11,Склад готової продукції,2023-04-24,9,13,39,19.5,3360.38,30243.420000000002,2023-04-12,Ряд 10-Стелаж 33-Позиція 3,Низький запас
91,76,Головний склад,2023-12-05,51,32,96,48.0,3684.6,187914.6,2023-11-27,Ряд 4-Стелаж 49-Позиція 7,Низький запас
92,51,Склад готової продукції,2023-02-02,98,45,135,67.5,473.95,46447.1,2023-01-28,Ряд 10-Стелаж 40-Позиція 7,В наявності
93,36,Склад матеріалів,2024-08-26,52,30,90,45.0,1105.87,57505.23999999999,2024-08-10,Ряд 13-Стелаж 40-Позиція 1,Низький запас
94,36,Склад готової продукції,2023-08-25,51,24,72,36.0,1105.87,56399.369999999995,2023-07-30,Ряд 5-Стелаж 39-Позиція 1,Низький запас
95,51,Склад матеріалів,2023-05-30,149,50,150,75.0,473.95,70618.55,2023-04-30,Ряд 1-Стелаж 46-Позиція 8,Низький запас
96,69,Склад матеріалів,2024-12-23,45,18,54,27.0,1864.23,83890.35,2024-12-18,Ряд 2-Стелаж 3-Позиція 5,Надлишок
97,56,Склад сировини,2023-02-22,17,35,105,52.5,4906.12,83404.04,2023-01-29,Ряд 9-Стелаж 48-Позиція 3,Надлишок
98,23,Головний склад,2023-07-13,26,13,39,19.5,1221.94,31770.440000000002,2023-07-04,Ряд 1-Стелаж 7-Позиція 7,Критичний запас
99,17,Склад сировини,2024-10-29,65,28,84,42.0,961.26,62481.9,2024-10-12,Ряд 10-Стелаж 34-Позиція 10,Критичний запас
100,32,Склад матеріалів,2024-05-18,31,23,69,34.5,2047.87,63483.969999999994,2024-04-20,Ряд 5-Стелаж 44-Позиція 3,Критичний запас
101,9,Головний склад,2023-05-22,6,14,42,21.0,997.17,5983.0199999999995,2023-05-14,Ряд 11-Стелаж 38-Позиція 6,Надлишок
102,95,Склад сировини,2023-01-13,26,11,33,16.5,1460.5,37973.0,2022-12-24,Ряд 11-Стелаж 10-Позиція 10,Низький запас
103,62,Склад сировини,2024-08-01,43,34,102,51.0,110.06,4732.58,2024-07-15,Ряд 11-Стелаж 29-Позиція 7,Надлишок
104,37,Склад готової продукції,2024-10-30,32,19,57,28.5,4084.62,130707.84,2024-10-29,Ряд 1-Стелаж 34-Позиція 3,Низький запас
105,97,Склад сировини,2023-08-16,46,46,138,69.0,3207.59,147549.14,2023-07-31,Ряд 18-Стелаж 46-Позиція 1,Критичний запас
106,97,Склад сировини,2024-07-29,65,35,105,52.5,3207.59,208493.35,2024-07-01,Ряд 6-Стелаж 2-Позиція 3,Низький запас
107,58,Склад готової продукції,2023-09-06,78,46,138,69.0,3628.33,283009.74,2023-08-18,Ряд 16-Стелаж 38-Позиція 8,Надлишок
108,56,Головний склад,2024-01-26,19,12,36,18.0,4906.12,93216.28,2024-01-12,Ряд 3-Стелаж 10-Позиція 10,В наявності
109,84,Склад готової продукції,2023-01-20,40,15,45,22.5,1588.25,63530.0,2023-01-06,Ряд 8-Стелаж 45-Позиція 3,В наявності
110,6,Склад матеріалів,2023-11-06,29,29,87,43.5,1430.04,41471.159999999996,2023-10-26,Ряд 19-Стелаж 47-Позиція 10,В наявності
111,30,Склад готової продукції,2023-09-12,36,43,129,64.5,3863.73,139094.28,2023-09-05,Ряд 12-Стелаж 6-Позиція 10,Низький запас
112,75,Склад готової продукції,2024-11-07,19,45,135,67.5,1633.98,31045.62,2024-11-01,Ряд 3-Стелаж 49-Позиція 8,Критичний запас
113,58,Склад готової продукції,2023-07-19,0,30,90,45.0,3628.33,0.0,2023-07-13,Ряд 9-Стелаж 14-Позиція 2,Критичний запас
114,92,Склад матеріалів,2023-07-20,31,27,81,40.5,1053.48,32657.88,2023-07-19,Ряд 10-Стелаж 17-Позиція 3,Критичний запас
115,16,Склад готової продукції,2023-01-08,21,21,63,31.5,4994.83,104891.43,2022-12-23,Ряд 19-Стелаж 9-Позиція 9,В наявності
116,72,Склад сировини,2023-01-18,54,40,120,60.0,3502.21,189119.34,2022-12-19,Ряд 13-Стелаж 24-Позиція 7,В наявності
117,56,Склад готової продукції,2023-01-25,55,32,96,48.0,4906.12,269836.6,2023-01-24,Ряд 19-Стелаж 19-Позиція 7,Критичний запас
118,13,Склад готової продукції,2024-12-21,13,16,48,24.0,3170.51,41216.630000000005,2024-11-30,Ряд 17-Стелаж 2-Позиція 1,Критичний запас
119,15,Склад сировини,2023-11-19,41,31,93,46.5,3577.33,146670.53,2023-10-25,Ряд 1-Стелаж 30-Позиція 3,Низький запас
120,14,Склад сировини,2023-05-05,25,17,51,25.5,3708.84,92721.0,2023-05-03,Ряд 9-Стелаж 46-Позиція 4,В наявності
121,25,Склад сировини,2023-08-25,27,17,51,25.5,1259.32,34001.64,2023-08-20,Ряд 13-Стелаж 36-Позиція 4,Критичний запас
122,61,Склад сировини,2023-06-12,17,26,78,39.0,3659.2,62206.399999999994,2023-05-13,Ряд 17-Стелаж 4-Позиція 9,Критичний запас
123,61,Головний склад,2023-12-07,14,17,51,25.5,3659.2,51228.799999999996,2023-12-01,Ряд 6-Стелаж 49-Позиція 6,Низький запас
124,13,Склад готової продукції,2024-04-21,6,21,63,31.5,3170.51,19023.06,2024-04-19,Ряд 17-Стелаж 3-Позиція 3,Низький запас
125,42,Головний склад,2023-06-21,86,37,111,55.5,3167.49,272404.13999999996,2023-05-23,Ряд 18-Стелаж 8-Позиція 2,Надлишок
126,52,Склад готової продукції,2023-04-15,54,44,132,66.0,442.56,23898.24,2023-04-10,Ряд 8-Стелаж 3-Позиція 4,Низький запас
127,41,Склад сировини,2023-05-05,115,49,147,73.5,3419.58,393251.7,2023-04-07,Ряд 7-Стелаж 22-Позиція 1,В наявності
128,92,Склад матеріалів,2024-06-02,10,10,30,15.0,1053.48,10534.8,2024-05-15,Ряд 3-Стелаж 17-Позиція 7,Критичний запас
129,90,Головний склад,2023-02-26,83,29,87,43.5,3624.88,300865.04000000004,2023-02-24,Ряд 2-Стелаж 49-Позиція 9,Низький запас
130,13,Головний склад,2023-05-23,24,25,75,37.5,3170.51,76092.24,2023-05-12,Ряд 6-Стелаж 20-Позиція 8,Надлишок
131,18,Склад сировини,2024-10-10,60,37,111,55.5,3845.22,230713.19999999998,2024-09-16,Ряд 14-Стелаж 49-Позиція 4,Надлишок
132,99,Склад готової продукції,2024-01-06,33,20,60,30.0,3611.05,119164.65000000001,2023-12-10,Ряд 3-Стелаж 30-Позиція 10,Надлишок
133,37,Головний склад,2023-04-03,101,49,147,73.5,4084.62,412546.62,2023-03-11,Ряд 8-Стелаж 9-Позиція 5,Критичний запас
134,97,Склад готової продукції,2024-01-20,29,25,75,37.5,3207.59,93020.11,2024-01-11,Ряд 4-Стелаж 20-Позиція 9,В наявності
135,44,Склад готової продукції,2024-07-11,14,40,120,60.0,2574.14,36037.96,2024-06-28,Ряд 15-Стелаж 25-Позиція 4,В наявності
136,6,Склад готової продукції,2024-09-06,2,18,54,27.0,1430.04,2860.08,2024-08-22,Ряд 6-Стелаж 11-Позиція 3,В наявності
137,97,Головний склад,2023-07-15,32,36,108,54.0,3207.59,102642.88,2023-06-17,Ряд 6-Стелаж 39-Позиція 1,В наявності
138,90,Головний склад,2023-07-27,71,35,105,52.5,3624.88,257366.48,2023-07-16,Ряд 8-Стелаж 14-Позиція 2,Низький запас
139,61,Склад сировини,2023-06-15,11,10,30,15.0,3659.2,40251.2,2023-05-17,Ряд 14-Стелаж 33-Позиція 1,Низький запас
140,33,Склад готової продукції,2023-11-12,1,46,138,69.0,190.63,190.63,2023-10-14,Ряд 1-Стелаж 39-Позиція 3,Надлишок
141,41,Головний склад,2024-08-20,34,35,105,52.5,3419.58,116265.72,2024-08-09,Ряд 9-Стелаж 5-Позиція 10,Критичний запас
142,98,Склад готової продукції,2023-04-08,31,19,57,28.5,2498.2,77444.2,2023-04-04,Ряд 8-Стелаж 32-Позиція 6,Надлишок
143,37,Склад сировини,2024-03-03,38,40,120,60.0,4084.62,155215.56,2024-02-24,Ряд 11-Стелаж 12-Позиція 6,Низький запас
144,20,Склад готової продукції,2023-08-12,39,14,42,21.0,1230.1,47973.899999999994,2023-07-20,Ряд 4-Стелаж 2-Позиція 4,Критичний запас
145,92,Головний склад,2023-10-15,21,35,105,52.5,1053.48,22123.08,2023-10-11,Ряд 20-Стелаж 7-Позиція 2,Низький запас
146,41,Склад готової продукції,2024-08-17,2,24,72,36.0,3419.58,6839.16,2024-07-22,Ряд 19-Стелаж 3-Позиція 7,Надлишок
147,82,Склад сировини,2023-01-21,18,18,54,27.0,2390.64,43031.52,2023-01-16,Ряд 1-Стелаж 18-Позиція 1,Критичний запас
148,81,Склад готової продукції,2023-12-14,35,49,147,73.5,2918.14,102134.9,2023-11-30,Ряд 10-Стелаж 31-Позиція 6,В наявності
149,46,Склад готової продукції,2024-12-29,76,44,132,66.0,4479.12,340413.12,2024-12-01,Ряд 12-Стелаж 11-Позиція 5,Надлишок
150,40,Склад сировини,2024-09-07,12,26,78,39.0,846.69,10160.28,2024-08-18,Ряд 8-Стелаж 8-Позиція 4,Надлишок
151,49,Склад сировини,2024-04-10,17,21,63,31.5,3084.02,52428.34,2024-03-23,Ряд 4-Стелаж 31-Позиція 9,Надлишок
152,66,Склад матеріалів,2024-06-14,86,43,129,64.5,959.17,82488.62,2024-06-09,Ряд 10-Стелаж 30-Позиція 1,Надлишок
153,70,Склад сировини,2023-10-31,135,47,141,70.5,4036.46,544922.1,2023-10-11,Ряд 14-Стелаж 45-Позиція 5,Низький запас
154,58,Головний склад,2024-08-31,24,18,54,27.0,3628.33,87079.92,2024-08-26,Ряд 18-Стелаж 17-Позиція 10,Надлишок
155,11,Склад матеріалів,2024-01-24,63,40,120,60.0,3360.38,211703.94,2024-01-10,Ряд 15-Стелаж 41-Позиція 1,Надлишок
156,25,Склад матеріалів,2024-09-23,41,50,150,75.0,1259.32,51632.119999999995,2024-08-27,Ряд 17-Стелаж 38-Позиція 1,В наявності
157,34,Склад матеріалів,2024-01-21,33,29,87,43.5,1552.35,51227.549999999996,2023-12-24,Ряд 14-Стелаж 4-Позиція 3,В наявності
158,3,Склад матеріалів,2023-01-21,35,13,39,19.5,3019.34,105676.90000000001,2022-12-31,Ряд 14-Стелаж 50-Позиція 10,Низький запас
159,91,Головний склад,2024-11-30,30,21,63,31.5,4371.24,131137.19999999998,2024-11-24,Ряд 13-Стелаж 47-Позиція 10,Низький запас
160,24,Головний склад,2023-07-27,13,15,45,22.5,4503.49,58545.369999999995,2023-07-05,Ряд 1-Стелаж 10-Позиція 6,Надлишок
161,17,Склад сировини,2024-03-19,10,42,126,63.0,961.26,9612.6,2024-03-02,Ряд 18-Стелаж 9-Позиція 3,Надлишок
162,98,Головний склад,2024-10-27,39,17,51,25.5,2498.2,97429.79999999999,2024-10-10,Ряд 6-Стелаж 18-Позиція 10,Низький запас
163,76,Склад сировини,2024-03-12,18,12,36,18.0,3684.6,66322.8,2024-03-07,Ряд 10-Стелаж 27-Позиція 7,В наявності
164,59,Склад матеріалів,2024-01-12,51,42,126,63.0,3862.29,196976.79,2023-12-29,Ряд 3-Стелаж 28-Позиція 5,Критичний запас
165,70,Склад матеріалів,2023-08-02,76,35,105,52.5,4036.46,306770.96,2023-07-04,Ряд 13-Стелаж 23-Позиція 7,В наявності
166,96,Склад готової продукції,2024-12-14,51,43,129,64.5,2924.35,149141.85,2024-12-04,Ряд 16-Стелаж 45-Позиція 8,В наявності
167,85,Склад готової продукції,2023-01-03,47,34,102,51.0,2867.12,134754.63999999998,2022-12-07,Ряд 1-Стелаж 43-Позиція 1,Низький запас
168,16,Склад готової продукції,2023-10-01,19,16,48,24.0,4994.83,94901.77,2023-09-15,Ряд 5-Стелаж 37-Позиція 8,Низький запас
169,91,Склад готової продукції,2023-11-26,73,35,105,52.5,4371.24,319100.51999999996,2023-11-14,Ряд 1-Стелаж 19-Позиція 1,Низький запас
170,68,Склад готової продукції,2024-11-19,13,33,99,49.5,2998.17,38976.21,2024-10-20,Ряд 4-Стелаж 49-Позиція 2,Критичний запас
171,42,Головний склад,2023-07-10,4,23,69,34.5,3167.49,12669.96,2023-06-11,Ряд 5-Стелаж 27-Позиція 8,Надлишок
172,81,Склад готової продукції,2024-03-16,141,47,141,70.5,2918.14,411457.74,2024-03-09,Ряд 13-Стелаж 35-Позиція 5,Низький запас
173,75,Склад готової продукції,2023-07-07,128,50,150,75.0,1633.98,209149.44,2023-07-02,Ряд 2-Стелаж 46-Позиція 5,Критичний запас
174,84,Склад сировини,2024-07-04,79,40,120,60.0,1588.25,125471.75,2024-06-20,Ряд 1-Стелаж 30-Позиція 3,В наявності
175,8,Склад сировини,2023-11-23,21,17,51,25.5,4806.79,100942.59,2023-11-13,Ряд 20-Стелаж 24-Позиція 5,Низький запас
176,41,Головний склад,2023-09-11,111,37,111,55.5,3419.58,379573.38,2023-08-24,Ряд 8-Стелаж 39-Позиція 9,Низький запас
177,95,Головний склад,2024-10-16,125,45,135,67.5,1460.5,182562.5,2024-09-26,Ряд 20-Стелаж 24-Позиція 1,Надлишок
178,94,Склад готової продукції,2024-08-16,40,23,69,34.5,1493.89,59755.600000000006,2024-07-21,Ряд 12-Стелаж 36-Позиція 6,Надлишок
179,3,Склад готової продукції,2023-03-13,72,43,129,64.5,3019.34,217392.48,2023-03-03,Ряд 11-Стелаж 48-Позиція 8,В наявності
180,77,Склад матеріалів,2023-08-11,30,11,33,16.5,1204.84,36145.2,2023-08-02,Ряд 5-Стелаж 46-Позиція 10,Надлишок
181,59,Склад сировини,2023-12-25,7,32,96,48.0,3862.29,27036.03,2023-12-19,Ряд 20-Стелаж 19-Позиція 6,Надлишок
182,14,Склад готової продукції,2023-03-29,13,17,51,25.5,3708.84,48214.92,2023-02-28,Ряд 13-Стелаж 2-Позиція 8,В наявності
183,81,Головний склад,2024-04-12,32,33,99,49.5,2918.14,93380.48,2024-03-24,Ряд 15-Стелаж 45-Позиція 5,Критичний запас
184,85,Головний склад,2023-11-29,11,14,42,21.0,2867.12,31538.32,2023-11-13,Ряд 7-Стелаж 16-Позиція 6,Критичний запас
185,41,Склад матеріалів,2024-10-05,65,32,96,48.0,3419.58,222272.69999999998,2024-09-21,Ряд 3-Стелаж 30-Позиція 4,В наявності
186,26,Склад матеріалів,2023-08-12,75,44,132,66.0,4725.53,354414.75,2023-08-05,Ряд 9-Стелаж 14-Позиція 4,Надлишок
