production_id,product_id,batch_number,start_date,end_date,planned_quantity,produced_quantity,defect_quantity,employee_id,machine_id,production_line,production_cost,energy_consumption,production_status,quality_check_status
65,86,B000065,2024-06-19,2024-06-19 20:00:00,334,346,6,162,10,Лінія 2,4370.29,965.95,В процесі,Пройдено
66,92,B000066,2024-01-31,2024-02-02 01:00:00,897,837,14,176,10,Лінія 3,48871.8,350.75,Завершено,Відхилено
67,42,B000067,2023-01-07,2023-01-07 04:00:00,364,397,20,176,9,Лінія 4,9326.58,347.71,Завершено,Відхилено
68,56,B000068,2024-01-15,2024-01-16 02:00:00,705,768,31,187,2,Лінія 5,22178.52,209.3,Заплановано,Відхилено
69,96,B000069,2024-11-30,2024-12-02 18:00:00,940,896,38,15,8,Лінія 3,1046.75,557.81,Завершено,Відхилено
70,46,B000070,2024-01-09,2024-01-09 13:00:00,999,1013,30,147,4,Лінія 4,10538.88,751.46,Заплановано,Очікує
71,85,B000071,2023-06-08,2023-06-09 03:00:00,631,656,29,80,6,Лінія 3,8101.29,864.79,Завершено,Пройдено
72,6,B000072,2023-12-29,2023-12-29 16:00:00,394,430,8,172,6,Лінія 4,44961.84,559.3,В процесі,Пройдено
73,32,B000073,2023-12-09,2023-12-11 17:00:00,808,778,17,172,4,Лінія 5,29779.45,288.25,Завершено,Відхилено
74,13,B000074,2024-02-28,2024-03-01 02:00:00,343,316,10,128,3,Лінія 2,2927.47,970.56,В процесі,Очікує
75,3,B000075,2024-11-01,2024-11-01 05:00:00,908,952,20,169,1,Лінія 5,45907.45,744.5,В процесі,Пройдено
76,5,B000076,2023-03-26,2023-03-27 05:00:00,740,751,20,34,8,Лінія 5,23334.31,704.74,В процесі,Пройдено
77,80,B000077,2024-08-23,2024-08-25 16:00:00,645,664,9,91,9,Лінія 4,47285.85,366.66,В процесі,Пройдено
78,72,B000078,2024-05-29,2024-05-29 22:00:00,402,422,18,145,5,Лінія 5,6884.41,705.48,Заплановано,Очікує
79,26,B000079,2024-01-30,2024-02-01 16:00:00,183,167,0,154,8,Лінія 5,20477.16,885.6,Заплановано,Пройдено
80,24,B000080,2024-01-15,2024-01-16 17:00:00,479,488,9,122,8,Лінія 2,48200.96,381.41,В процесі,Пройдено
81,71,B000081,2024-04-30,2024-04-30 23:00:00,463,447,22,147,5,Лінія 4,44623.61,379.84,Заплановано,Відхилено
82,46,B000082,2023-12-28,2023-12-29 03:00:00,730,676,33,176,4,Лінія 5,33516.45,594.94,Заплановано,Очікує
83,80,B000083,2024-02-13,2024-02-14 07:00:00,474,488,3,58,5,Лінія 1,20835.89,845.78,Завершено,Пройдено
84,28,B000084,2024-03-06,2024-03-08 23:00:00,486,476,11,172,3,Лінія 3,48941.01,491.45,Заплановано,Пройдено
85,80,B000085,2023-06-25,2023-06-27 23:00:00,882,849,33,154,5,Лінія 3,8859.29,825.48,Завершено,Пройдено
86,14,B000086,2023-07-30,2023-07-30 14:00:00,939,1026,9,15,1,Лінія 3,9814.34,158.47,Завершено,Очікує
87,62,B000087,2024-06-18,2024-06-18 13:00:00,335,309,6,145,8,Лінія 4,19005.71,106.38,В процесі,Очікує
88,98,B000088,2023-03-16,2023-03-16 22:00:00,307,316,8,31,9,Лінія 2,4514.72,983.18,Завершено,Очікує
89,18,B000089,2024-05-20,2024-05-20 04:00:00,708,676,27,169,10,Лінія 3,10028.49,141.67,В процесі,Очікує
90,54,B000090,2024-10-23,2024-10-25 23:00:00,190,172,5,145,5,Лінія 2,38210.54,209.73,Завершено,Очікує
91,11,B000091,2024-05-24,2024-05-25 22:00:00,658,695,26,128,5,Лінія 1,11308.25,817.08,Заплановано,Пройдено
92,3,B000092,2024-03-06,2024-03-06 22:00:00,872,792,11,74,5,Лінія 4,40221.73,738.69,Завершено,Відхилено
93,49,B000093,2023-01-09,2023-01-10 20:00:00,863,855,32,91,5,Лінія 1,4232.36,112.03,Заплановано,Відхилено
94,13,B000094,2024-02-01,2024-02-03 19:00:00,948,863,12,45,9,Лінія 2,20721.16,953.74,Завершено,Пройдено
95,28,B000095,2023-01-06,2023-01-08 04:00:00,150,162,0,147,6,Лінія 3,38513.69,507.99,В процесі,Пройдено
96,49,B000096,2024-06-17,2024-06-17 16:00:00,864,891,30,169,4,Лінія 4,41336.94,245.46,Завершено,Очікує
97,97,B000097,2023-10-20,2023-10-22 17:00:00,276,270,4,15,7,Лінія 3,12392.34,894.51,Завершено,Очікує
98,23,B000098,2024-12-22,2024-12-23 18:00:00,766,719,12,131,5,Лінія 4,36832.67,965.28,Заплановано,Відхилено
99,94,B000099,2024-02-26,2024-02-26 22:00:00,367,342,11,128,5,Лінія 3,7588.66,185.23,Заплановано,Очікує
100,99,B000100,2023-11-06,2023-11-07 21:00:00,197,181,2,58,2,Лінія 4,21818.72,937.16,Завершено,Очікує
101,100,B000101,2024-10-10,2024-10-12 19:00:00,107,97,3,6,1,Лінія 4,42038.13,212.24,Заплановано,Очікує
102,56,B000102,2024-03-11,2024-03-12 20:00:00,950,933,36,143,9,Лінія 4,4229.85,881.64,Завершено,Пройдено
103,76,B000103,2023-01-04,2023-01-06 23:00:00,456,463,10,169,8,Лінія 1,42148.51,742.63,Заплановано,Пройдено
104,70,B000104,2024-05-29,2024-05-29 23:00:00,910,902,6,123,9,Лінія 5,20446.65,372.08,Завершено,Очікує
105,76,B000105,2024-09-05,2024-09-07 23:00:00,223,220,5,143,1,Лінія 5,44698.36,928.59,В процесі,Відхилено
106,61,B000106,2024-10-21,2024-10-22 21:00:00,429,449,3,58,9,Лінія 5,4346.93,776.71,В процесі,Пройдено
107,73,B000107,2023-02-24,2023-02-24 10:00:00,285,260,12,6,4,Лінія 2,7172.37,125.9,Завершено,Відхилено
108,25,B000108,2024-10-31,2024-10-31 16:00:00,371,348,10,34,2,Лінія 1,19861.11,839.13,В процесі,Очікує
109,81,B000109,2023-01-28,2023-01-29 11:00:00,107,113,4,6,6,Лінія 2,15771.95,373.45,В процесі,Очікує
110,46,B000110,2023-06-02,2023-06-03 05:00:00,323,346,9,164,8,Лінія 1,7860.68,294.95,Заплановано,Відхилено
111,73,B000111,2024-07-01,2024-07-03 22:00:00,780,842,21,123,7,Лінія 2,41936.44,413.72,В процесі,Відхилено
112,9,B000112,2024-05-06,2024-05-07 02:00:00,959,1044,50,131,10,Лінія 2,7201.61,667.27,В процесі,Пройдено
113,18,B000113,2023-04-29,2023-04-30 15:00:00,919,931,41,132,1,Лінія 1,46160.84,798.93,Завершено,Очікує
114,61,B000114,2024-01-26,2024-01-26 18:00:00,773,809,28,143,8,Лінія 5,36953.67,635.67,В процесі,Очікує
115,82,B000115,2023-10-22,2023-10-24 05:00:00,535,539,18,154,3,Лінія 3,41545.58,810.8,Заплановано,Відхилено
116,28,B000116,2024-08-29,2024-08-30 02:00:00,489,519,11,169,10,Лінія 3,13176.16,427.79,Завершено,Очікує
117,23,B000117,2024-09-18,2024-09-19 18:00:00,187,172,2,91,7,Лінія 3,7566.15,201.41,В процесі,Пройдено
118,29,B000118,2023-03-14,2023-03-14 23:00:00,100,100,5,145,4,Лінія 3,2203.12,808.23,Завершено,Відхилено
119,17,B000119,2023-08-26,2023-08-27 18:00:00,170,166,6,122,4,Лінія 4,28031.17,480.37,Заплановано,Відхилено
120,71,B000120,2024-05-27,2024-05-28 08:00:00,805,855,4,49,4,Лінія 5,22200.0,564.85,Заплановано,Пройдено
121,97,B000121,2024-06-18,2024-06-19 10:00:00,964,987,26,65,9,Лінія 2,33593.82,135.48,В процесі,Пройдено
122,23,B000122,2023-01-06,2023-01-07 21:00:00,990,997,47,6,3,Лінія 3,1103.31,743.94,Завершено,Пройдено
123,71,B000123,2024-07-03,2024-07-03 18:00:00,947,867,19,132,9,Лінія 5,7271.45,593.75,В процесі,Відхилено
124,25,B000124,2023-02-08,2023-02-09 19:00:00,726,709,25,80,5,Лінія 4,19671.53,220.87,В процесі,Очікує
125,20,B000125,2023-12-13,2023-12-15 11:00:00,815,860,15,154,5,Лінія 2,15539.59,521.31,Заплановано,Відхилено
126,44,B000126,2023-11-06,2023-11-08 00:00:00,793,841,34,164,7,Лінія 5,20747.36,327.73,Заплановано,Очікує
127,79,B000127,2023-05-03,2023-05-03 04:00:00,251,274,11,65,7,Лінія 3,17673.29,745.7,Заплановано,Очікує
128,25,B000128,2023-05-19,2023-05-21 17:00:00,872,822,37,176,1,Лінія 1,14140.73,955.43,Завершено,Пройдено
129,81,B000129,2024-04-17,2024-04-18 23:00:00,118,124,0,143,5,Лінія 4,43518.59,385.45,Завершено,Очікує
130,62,B000130,2024-03-02,2024-03-03 21:00:00,302,278,4,58,4,Лінія 2,30378.96,250.84,Заплановано,Очікує
131,26,B000131,2024-12-04,2024-12-06 09:00:00,758,762,18,176,2,Лінія 5,23429.27,917.78,Заплановано,Пройдено
132,16,B000132,2023-08-26,2023-08-28 20:00:00,505,464,14,172,10,Лінія 2,8510.8,639.68,Заплановано,Відхилено
133,70,B000133,2024-02-07,2024-02-09 00:00:00,819,897,7,176,2,Лінія 2,34872.84,381.16,В процесі,Очікує
134,31,B000134,2024-09-17,2024-09-19 14:00:00,451,417,6,58,2,Лінія 3,31083.78,365.86,Завершено,Очікує
135,17,B000135,2023-04-24,2023-04-26 11:00:00,907,937,34,45,1,Лінія 1,9171.75,630.83,Завершено,Відхилено
136,36,B000136,2023-05-10,2023-05-12 00:00:00,112,107,5,123,6,Лінія 1,41675.49,154.49,Завершено,Пройдено
137,29,B000137,2024-10-21,2024-10-23 01:00:00,421,459,13,164,10,Лінія 4,1769.31,453.3,Заплановано,Очікує
138,24,B000138,2024-08-08,2024-08-08 04:00:00,211,195,8,15,3,Лінія 5,8016.43,301.51,В процесі,Відхилено
139,72,B000139,2023-03-09,2023-03-11 08:00:00,358,363,11,31,6,Лінія 2,29748.94,805.18,Завершено,Пройдено
140,30,B000140,2023-09-21,2023-09-22 12:00:00,503,535,16,91,8,Лінія 4,30660.37,896.95,Заплановано,Очікує
141,25,B000141,2024-12-06,2024-12-08 00:00:00,668,709,25,74,2,Лінія 4,2225.88,495.89,Завершено,Пройдено
142,96,B000142,2023-10-09,2023-10-11 01:00:00,731,778,33,102,9,Лінія 4,8192.28,722.93,Заплановано,Очікує
143,23,B000143,2024-04-05,2024-04-07 19:00:00,549,504,4,187,6,Лінія 3,14797.12,339.58,Заплановано,Очікує
144,85,B000144,2024-09-27,2024-09-29 03:00:00,777,765,34,129,10,Лінія 2,44044.77,578.6,Заплановано,Відхилено
145,41,B000145,2024-07-20,2024-07-20 17:00:00,598,657,20,45,6,Лінія 4,47954.08,759.67,Завершено,Пройдено
146,46,B000146,2023-06-23,2023-06-24 20:00:00,929,862,23,143,7,Лінія 5,11528.8,785.41,Завершено,Очікує
147,6,B000147,2023-01-07,2023-01-09 12:00:00,774,779,30,65,7,Лінія 1,35523.47,218.77,В процесі,Відхилено
148,92,B000148,2023-11-14,2023-11-15 13:00:00,215,223,6,122,3,Лінія 1,18588.48,101.93,Завершено,Відхилено
149,31,B000149,2024-07-01,2024-07-02 06:00:00,189,177,4,143,1,Лінія 1,15591.94,914.04,Заплановано,Відхилено
150,15,B000150,2024-07-27,2024-07-29 07:00:00,679,626,30,169,6,Лінія 2,12449.99,798.04,Завершено,Очікує
151,25,B000151,2023-01-24,2023-01-25 09:00:00,130,138,2,187,8,Лінія 1,1570.29,747.29,Завершено,Відхилено
152,29,B000152,2024-04-03,2024-04-04 09:00:00,462,466,6,80,3,Лінія 2,7418.69,540.77,Заплановано,Очікує
153,28,B000153,2023-01-01,2023-01-02 12:00:00,157,170,8,65,10,Лінія 2,33328.98,791.42,Завершено,Пройдено
154,71,B000154,2024-02-27,2024-02-28 19:00:00,210,222,4,65,2,Лінія 5,31895.0,472.09,Заплановано,Відхилено
155,58,B000155,2024-12-21,2024-12-22 10:00:00,364,349,16,31,5,Лінія 5,29509.85,496.37,В процесі,Відхилено
156,56,B000156,2023-01-07,2023-01-09 08:00:00,275,294,13,172,8,Лінія 5,39507.68,993.34,Завершено,Відхилено
157,18,B000157,2023-11-03,2023-11-05 11:00:00,506,543,2,122,7,Лінія 4,32603.07,214.79,Заплановано,Пройдено
158,77,B000158,2023-10-17,2023-10-19 16:00:00,649,640,8,31,1,Лінія 2,48154.27,364.81,В процесі,Очікує
159,85,B000159,2024-02-20,2024-02-21 10:00:00,914,881,36,91,6,Лінія 1,43333.93,743.12,Завершено,Очікує
160,41,B000160,2023-01-18,2023-01-18 09:00:00,973,935,40,187,6,Лінія 5,32744.33,332.85,В процесі,Очікує
161,75,B000161,2023-05-26,2023-05-27 10:00:00,635,631,21,49,3,Лінія 2,24123.59,482.62,Заплановано,Очікує
162,66,B000162,2023-03-26,2023-03-27 16:00:00,915,935,23,129,5,Лінія 2,39636.35,103.93,Заплановано,Відхилено
163,68,B000163,2024-12-23,2024-12-25 00:00:00,372,380,7,65,2,Лінія 5,22055.16,387.92,Заплановано,Очікує
164,30,B000164,2023-12-29,2023-12-29 05:00:00,694,662,22,143,8,Лінія 1,47191.87,148.76,Заплановано,Очікує
165,6,B000165,2023-05-06,2023-05-07 04:00:00,150,139,5,49,8,Лінія 2,24750.0,207.42,В процесі,Очікує
166,33,B000166,2023-10-16,2023-10-18 16:00:00,588,550,4,123,6,Лінія 3,33610.12,629.99,Завершено,Пройдено
167,31,B000167,2024-08-23,2024-08-24 00:00:00,523,477,11,6,1,Лінія 4,35310.38,592.13,В процесі,Очікує
168,15,B000168,2024-08-16,2024-08-16 10:00:00,743,747,10,74,5,Лінія 1,44084.93,321.13,Завершено,Пройдено
169,58,B000169,2024-07-03,2024-07-03 17:00:00,378,386,8,176,8,Лінія 3,37512.98,332.91,Заплановано,Відхилено
170,18,B000170,2023-02-26,2023-02-27 21:00:00,344,314,15,31,6,Лінія 3,4875.28,601.89,В процесі,Очікує
171,6,B000171,2024-02-18,2024-02-20 17:00:00,612,639,26,31,7,Лінія 5,17505.5,405.0,Завершено,Пройдено
172,51,B000172,2023-03-13,2023-03-14 16:00:00,163,156,6,187,9,Лінія 4,28332.61,385.04,Завершено,Пройдено
173,91,B000173,2023-11-20,2023-11-21 09:00:00,184,195,2,49,10,Лінія 5,22642.58,678.24,Заплановано,Пройдено
174,32,B000174,2024-09-19,2024-09-19 22:00:00,367,388,7,45,3,Лінія 3,43854.35,415.63,Завершено,Очікує
175,15,B000175,2024-01-06,2024-01-07 17:00:00,186,171,6,6,8,Лінія 3,8414.65,665.36,Заплановано,Відхилено
176,77,B000176,2023-08-20,2023-08-22 21:00:00,575,560,16,6,10,Лінія 5,30110.01,673.24,Завершено,Відхилено
177,11,B000177,2023-02-10,2023-02-11 03:00:00,436,440,10,169,8,Лінія 1,47405.23,172.43,Заплановано,Відхилено
178,14,B000178,2023-04-14,2023-04-15 13:00:00,170,166,6,49,9,Лінія 2,49143.71,363.38,Завершено,Відхилено
179,15,B000179,2024-10-15,2024-10-16 15:00:00,615,625,24,143,7,Лінія 2,20644.41,170.03,Завершено,Пройдено
180,84,B000180,2023-08-10,2023-08-12 05:00:00,800,819,41,187,1,Лінія 2,19062.23,246.4,Заплановано,Відхилено
181,75,B000181,2024-05-06,2024-05-07 16:00:00,298,309,15,129,4,Лінія 4,29859.88,245.2,Заплановано,Відхилено
182,91,B000182,2024-04-13,2024-04-13 07:00:00,299,282,4,74,2,Лінія 5,46440.7,456.88,В процесі,Очікує
183,18,B000183,2024-02-28,2024-02-29 12:00:00,146,148,1,172,10,Лінія 3,14620.23,603.71,В процесі,Відхилено
184,29,B000184,2024-06-28,2024-06-30 00:00:00,355,323,8,145,1,Лінія 5,18659.4,929.23,Заплановано,Очікує
185,98,B000185,2024-02-22,2024-02-24 21:00:00,710,737,25,45,3,Лінія 5,8511.05,923.16,Заплановано,Очікує
186,100,B000186,2024-03-05,2024-03-08 00:00:00,590,613,26,172,1,Лінія 3,2211.28,308.46,В процесі,Відхилено
187,3,B000187,2023-11-16,2023-11-17 01:00:00,699,715,18,45,8,Лінія 2,32413.87,714.06,Заплановано,Пройдено
188,16,B000188,2024-08-09,2024-08-09 09:00:00,555,505,10,164,7,Лінія 2,31195.66,251.45,В процесі,Очікує
189,54,B000189,2023-03-24,2023-03-24 09:00:00,230,208,6,122,7,Лінія 4,24347.01,333.35,В процесі,Відхилено
190,79,B000190,2023-10-23,2023-10-23 22:00:00,658,697,4,34,10,Лінія 2,2661.89,882.49,Завершено,Пройдено
191,16,B000191,2023-04-25,2023-04-26 11:00:00,377,357,16,154,2,Лінія 2,14140.86,816.05,Заплановано,Пройдено
192,20,B000192,2023-12-30,2023-12-31 10:00:00,274,274,6,123,9,Лінія 1,18469.98,377.11,В процесі,Пройдено
193,98,B000193,2023-01-14,2023-01-16 23:00:00,965,1005,19,128,3,Лінія 4,11201.79,344.17,Завершено,Очікує
194,14,B000194,2023-06-07,2023-06-08 20:00:00,940,924,25,49,1,Лінія 2,14526.28,742.0,Заплановано,Пройдено
195,13,B000195,2024-01-25,2024-01-25 21:00:00,443,475,4,145,5,Лінія 5,10256.49,111.79,В процесі,Очікує
196,52,B000196,2023-10-10,2023-10-10 15:00:00,582,526,23,102,2,Лінія 2,13402.76,365.34,Завершено,Очікує
197,65,B000197,2023-03-08,2023-03-09 11:00:00,241,223,7,102,4,Лінія 2,25068.36,645.46,В процесі,Відхилено
198,5,B000198,2024-04-21,2024-04-22 07:00:00,922,936,7,145,4,Лінія 3,12951.05,261.34,Завершено,Пройдено
199,54,B000199,2023-09-03,2023-09-04 08:00:00,76,79,3,15,2,Лінія 2,40148.7,260.83,В процесі,Пройдено
200,75,B000200,2023-11-20,2023-11-22 14:00:00,367,350,1,147,10,Лінія 3,34191.66,881.63,Завершено,Очікує
201,76,B000201,2023-06-29,2023-07-01 09:00:00,529,517,18,65,1,Лінія 1,23976.69,410.72,В процесі,Пройдено
202,95,B000202,2023-06-16,2023-06-19 00:00:00,567,587,17,31,1,Лінія 1,2286.58,887.51,В процесі,Очікує
203,34,B000203,2024-03-18,2024-03-20 07:00:00,383,345,12,102,7,Лінія 1,45579.27,480.43,В процесі,Пройдено
204,14,B000204,2024-10-03,2024-10-04 06:00:00,639,624,31,28,7,Лінія 1,24082.48,310.69,Завершено,Відхилено
205,18,B000205,2023-03-09,2023-03-10 04:00:00,517,529,3,80,2,Лінія 2,46605.33,122.39,Завершено,Відхилено
206,29,B000206,2023-04-10,2023-04-11 22:00:00,875,808,34,176,8,Лінія 1,23088.81,991.08,В процесі,Очікує
207,36,B000207,2023-04-02,2023-04-03 17:00:00,828,813,25,145,3,Лінія 4,9290.19,328.4,В процесі,Пройдено
208,62,B000208,2024-07-11,2024-07-13 01:00:00,505,479,2,80,6,Лінія 1,18826.92,490.96,Завершено,Очікує
209,26,B000209,2024-05-19,2024-05-19 14:00:00,756,816,31,45,8,Лінія 1,24394.22,928.27,Завершено,Очікує
210,11,B000210,2023-08-05,2023-08-06 00:00:00,749,765,3,31,1,Лінія 3,33755.96,194.95,Завершено,Очікує
211,98,B000211,2023-07-18,2023-07-18 17:00:00,701,637,6,102,1,Лінія 1,15546.64,669.09,В процесі,Відхилено
212,82,B000212,2023-02-06,2023-02-08 03:00:00,982,1034,15,80,10,Лінія 2,47378.26,165.31,Завершено,Відхилено
