invoice_id,invoice_number,sale_id,customer_id,issue_date,due_date,amount,payment_terms,status,payment_date,payment_method,notes
22,INV-000022,16,69,2023-04-07,2023-04-08,76944.31880000001,60 днів,Оплачено,2023-04-08,Банківський переказ,Гроші болото знищення наполегливо жити здригатися розкішний.
23,INV-000023,384,79,2024-03-11,2024-04-10,147625.28,45 днів,Оплачено,2024-03-21,Картка,
24,INV-000024,479,19,2024-04-08,2024-05-23,310815.8336,30 днів,Прострочено,,,
25,INV-000025,373,63,2024-06-05,2024-07-20,487028.223,60 днів,Прострочено,,,Занадто теорія бригада зрозумілий. Даль покидати ґаздиня новий нестерпний закласти.
26,INV-000026,619,118,2024-04-29,2024-05-29,477357.0813,30 днів,Оплачено,2024-05-17,Банківський переказ,
27,INV-000027,250,125,2023-04-20,2023-05-20,132264.9,60 днів,Прострочено,,,
28,INV-000028,266,128,2024-08-09,2024-09-23,118740.20399999998,1 Передоплата,Оплачено,2024-08-15,Картка,
29,INV-000029,663,101,2023-09-13,2023-09-14,282769.5136,45 днів,Оплачено,2023-09-14,Банківський переказ,
30,INV-000030,871,57,2024-07-23,2024-09-06,80476.5216,45 днів,Прострочено,,,
31,INV-000031,856,18,2023-02-04,2023-03-21,193214.439,30 днів,Оплачено,2023-03-02,Банківський переказ,
32,INV-000032,207,11,2023-02-15,2023-04-01,41212.1697,30 днів,Прострочено,,,
33,INV-000033,601,120,2023-10-16,2023-10-17,427154.58,30 днів,Прострочено,,,
34,INV-000034,210,10,2023-01-30,2023-01-31,120694.825,60 днів,Оплачено,2023-01-31,Картка,
35,INV-000035,269,118,2024-04-27,2024-05-27,106058.30119999999,60 днів,Прострочено,,,Вовк через а шолом вчора. Гараж сумнівний за низький.
36,INV-000036,406,23,2024-03-25,2024-03-26,28859.450399999998,30 днів,Оплачено,2024-03-26,Картка,
37,INV-000037,554,15,2023-10-25,2023-10-26,136480.386,1 Передоплата,Оплачено,2023-10-26,Картка,
38,INV-000038,262,3,2023-07-17,2023-08-16,112934.40340000001,30 днів,Оплачено,2023-07-27,Готівка,
39,INV-000039,608,107,2024-10-24,2024-12-08,28836.319,30 днів,Прострочено,,,
40,INV-000040,755,127,2023-06-10,2023-07-10,458521.50959999993,60 днів,Прострочено,,,
41,INV-000041,503,100,2023-11-11,2024-01-10,153484.81199999998,30 днів,Оплачено,2023-12-26,Банківський переказ,
42,INV-000042,463,13,2023-07-13,2023-07-14,73607.0144,60 днів,Оплачено,2023-07-14,Картка,
43,INV-000043,294,67,2024-02-01,2024-03-02,366161.10959999997,30 днів,Прострочено,,,
44,INV-000044,666,126,2024-07-18,2024-07-19,96314.62520000001,30 днів,Оплачено,2024-07-19,Картка,
45,INV-000045,364,116,2023-11-12,2023-12-27,122988.63779999998,30 днів,Оплачено,2023-12-16,Банківський переказ,
46,INV-000046,82,10,2023-08-24,2023-10-08,646091.46,30 днів,Прострочено,,,
47,INV-000047,795,104,2024-10-11,2024-11-25,43754.56540000001,30 днів,Оплачено,2024-10-30,Картка,
48,INV-000048,633,127,2023-07-14,2023-08-13,9039.271999999999,60 днів,Оплачено,2023-07-26,Картка,
49,INV-000049,746,64,2023-06-27,2023-07-27,128829.1868,45 днів,Оплачено,2023-07-23,Картка,Керівник мить потягнутися бригада покидати. Досліджено ставити задерти триста вчений байдужий кпсс.
50,INV-000050,117,30,2023-03-15,2023-04-14,272906.082,60 днів,Оплачено,2023-04-08,Картка,
51,INV-000051,406,23,2024-03-25,2024-05-09,28859.450399999998,1 Передоплата,Прострочено,,,
52,INV-000052,167,121,2023-09-12,2023-09-13,115138.4784,60 днів,Оплачено,2023-09-13,Банківський переказ,
53,INV-000053,861,96,2023-09-04,2023-09-05,132482.73,60 днів,Оплачено,2023-09-05,Банківський переказ,
54,INV-000054,117,30,2023-03-15,2023-03-16,272906.082,45 днів,Оплачено,2023-03-16,Готівка,
55,INV-000055,919,148,2024-11-13,2024-11-14,357257.481,45 днів,Оплачено,2024-11-14,Банківський переказ,
56,INV-000056,50,33,2024-01-12,2024-02-11,23457.3936,60 днів,Оплачено,2024-02-11,Банківський переказ,
57,INV-000057,407,32,2023-04-14,2023-04-15,441715.58999999997,30 днів,Прострочено,,,
58,INV-000058,229,96,2023-10-01,2023-11-30,107695.1424,45 днів,Оплачено,2023-10-19,Картка,
59,INV-000059,48,32,2024-09-11,2024-11-10,229892.22199999998,45 днів,Оплачено,2024-09-17,Банківський переказ,Наштовхнутися міф відповідність радість шкарпетка падаль армійський. Дихання виднітися боєць інший.
60,INV-000060,393,87,2023-11-10,2023-12-10,282144.8541,30 днів,Оплачено,2023-11-22,Готівка,
61,INV-000061,401,6,2024-04-26,2024-04-27,378269.04000000004,60 днів,Оплачено,2024-04-27,Готівка,
62,INV-000062,565,116,2023-01-08,2023-02-22,79628.9886,1 Передоплата,Оплачено,2023-02-22,Картка,Виражений гіркий гуляти. Камінчик сходити точно камінчик відповідність дівка знищення шкільний.
63,INV-000063,346,39,2024-01-02,2024-02-01,224976.99459999998,45 днів,Оплачено,2024-01-20,Картка,Головка крутий прелесть природний.
64,INV-000064,741,78,2023-08-13,2023-10-12,210711.6996,1 Передоплата,Оплачено,2023-08-20,Банківський переказ,
65,INV-000065,244,115,2024-02-06,2024-02-07,369326.9568,60 днів,Оплачено,2024-02-07,Готівка,
66,INV-000066,532,106,2023-04-30,2023-05-30,210543.3,1 Передоплата,Оплачено,2023-05-26,Картка,
67,INV-000067,804,53,2023-10-07,2023-10-08,34917.872,30 днів,Оплачено,2023-10-08,Банківський переказ,
68,INV-000068,899,87,2024-01-29,2024-02-28,574651.53,30 днів,Оплачено,2024-02-11,Готівка,
69,INV-000069,379,64,2024-01-17,2024-03-17,392946.83749999997,60 днів,Оплачено,2024-02-16,Готівка,Затягнутися надати тисяча пісенька художній точно лягати. Залучати спосіб шолом.
70,INV-000070,241,107,2023-05-19,2023-07-18,163047.0,45 днів,Оплачено,2023-05-20,Картка,
71,INV-000071,942,31,2023-11-26,2024-01-25,94293.36959999999,45 днів,Оплачено,2024-01-12,Готівка,
72,INV-000072,284,143,2023-08-04,2023-08-05,279506.2272,30 днів,Прострочено,,,
73,INV-000073,441,98,2023-10-27,2023-11-26,208476.04679999998,1 Передоплата,Прострочено,,,
74,INV-000074,433,85,2024-03-27,2024-05-26,114299.9872,30 днів,Оплачено,2024-04-20,Готівка,
75,INV-000075,594,86,2023-04-04,2023-04-05,14731.488,45 днів,Оплачено,2023-04-05,Готівка,Жити плід ковзати бочок вираз правління. Аналіз господь головний мета передо приходити вираз.
76,INV-000076,755,127,2023-06-10,2023-07-25,458521.50959999993,60 днів,Прострочено,,,
77,INV-000077,690,64,2024-04-25,2024-06-24,56499.3135,30 днів,Оплачено,2024-06-02,Картка,
78,INV-000078,899,87,2024-01-29,2024-02-28,574651.53,45 днів,Прострочено,,,
79,INV-000079,996,31,2023-07-10,2023-08-09,160227.75629999998,1 Передоплата,Оплачено,2023-08-05,Картка,
80,INV-000080,845,115,2024-03-19,2024-03-20,397239.95519999997,45 днів,Оплачено,2024-03-20,Картка,
81,INV-000081,215,21,2023-06-13,2023-07-28,398311.02220000006,60 днів,Оплачено,2023-07-27,Картка,
82,INV-000082,278,101,2024-08-10,2024-09-24,33427.8549,30 днів,Оплачено,2024-08-20,Готівка,
83,INV-000083,883,2,2024-12-23,2025-01-22,146284.5825,30 днів,Прострочено,,,
84,INV-000084,371,66,2024-05-22,2024-05-23,77212.997,30 днів,Оплачено,2024-05-23,Картка,
85,INV-000085,667,41,2024-05-13,2024-05-14,73447.79520000001,30 днів,Прострочено,,,
86,INV-000086,300,4,2024-06-19,2024-08-03,75512.51999999999,1 Передоплата,Оплачено,2024-07-10,Готівка,
87,INV-000087,730,140,2024-07-24,2024-09-07,160954.8276,60 днів,Оплачено,2024-08-07,Картка,
88,INV-000088,472,39,2023-07-28,2023-07-29,28171.7568,1 Передоплата,Оплачено,2023-07-29,Картка,
89,INV-000089,53,49,2023-09-17,2023-11-16,56424.5,1 Передоплата,Прострочено,,,
90,INV-000090,668,96,2024-10-08,2024-11-22,54572.518,60 днів,Оплачено,2024-11-16,Картка,
91,INV-000091,70,136,2023-01-28,2023-01-29,312677.768,45 днів,Оплачено,2023-01-29,Картка,Низький гуляти кидати зате колишній терапія. Пастух правління дихання решітка.
92,INV-000092,760,11,2024-11-02,2024-12-02,240676.14,60 днів,Оплачено,2024-11-19,Готівка,
93,INV-000093,153,30,2023-01-13,2023-01-14,62810.68199999999,60 днів,Оплачено,2023-01-14,Картка,
94,INV-000094,940,56,2023-04-14,2023-05-14,62302.1355,60 днів,Оплачено,2023-04-20,Готівка,
95,INV-000095,650,117,2024-06-20,2024-08-04,94223.00160000002,1 Передоплата,Оплачено,2024-07-23,Готівка,
96,INV-000096,569,43,2023-07-18,2023-07-19,305919.8416,45 днів,Оплачено,2023-07-19,Готівка,
97,INV-000097,551,127,2024-03-23,2024-03-24,245129.85199999998,1 Передоплата,Оплачено,2024-03-24,Банківський переказ,
98,INV-000098,361,84,2024-11-30,2024-12-30,223427.24910000002,45 днів,Оплачено,2024-12-29,Банківський переказ,Сумний байдужий господь банк рідкий. Червень вираз хід ставити бочок єврейський кут спосіб.
99,INV-000099,487,57,2024-02-05,2024-04-05,54803.8048,45 днів,Оплачено,2024-03-24,Готівка,
100,INV-000100,427,49,2024-05-09,2024-06-23,131464.2552,30 днів,Оплачено,2024-05-23,Готівка,
101,INV-000101,760,11,2024-11-02,2025-01-01,240676.14,30 днів,Прострочено,,,
102,INV-000102,603,55,2024-09-19,2024-09-20,55286.1378,30 днів,Оплачено,2024-09-20,Банківський переказ,
103,INV-000103,828,115,2023-05-31,2023-06-01,169549.27109999998,1 Передоплата,Оплачено,2023-06-01,Картка,
104,INV-000104,59,127,2023-01-23,2023-03-24,303838.74,60 днів,Оплачено,2023-03-14,Картка,
105,INV-000105,668,96,2024-10-08,2024-12-07,54572.518,60 днів,Оплачено,2024-11-14,Банківський переказ,
106,INV-000106,639,24,2024-07-21,2024-09-19,94992.16319999998,45 днів,Прострочено,,,Метал блін тута. Можливо пірʼя сміятися мить дихання комунізм вітрина через.
107,INV-000107,248,15,2024-08-19,2024-09-18,136283.94,1 Передоплата,Оплачено,2024-09-04,Готівка,
108,INV-000108,292,111,2023-10-20,2023-11-19,41459.809199999996,1 Передоплата,Прострочено,,,
109,INV-000109,967,101,2024-10-15,2024-12-14,295121.648,1 Передоплата,Оплачено,2024-11-19,Картка,
110,INV-000110,497,109,2024-04-28,2024-05-28,39637.373999999996,60 днів,Прострочено,,,
111,INV-000111,417,56,2024-10-09,2024-12-08,171530.48,30 днів,Оплачено,2024-12-04,Готівка,
112,INV-000112,344,20,2023-04-24,2023-04-25,55130.111999999994,60 днів,Оплачено,2023-04-25,Картка,
113,INV-000113,515,14,2024-02-07,2024-04-07,103400.2944,30 днів,Оплачено,2024-03-26,Готівка,
114,INV-000114,69,90,2023-04-18,2023-06-02,309305.7582,60 днів,Оплачено,2023-05-31,Банківський переказ,
115,INV-000115,123,6,2023-12-27,2024-02-25,24741.8773,1 Передоплата,Оплачено,2024-01-06,Картка,
116,INV-000116,967,101,2024-10-15,2024-11-29,295121.648,60 днів,Оплачено,2024-11-08,Картка,
117,INV-000117,244,115,2024-02-06,2024-02-07,369326.9568,60 днів,Оплачено,2024-02-07,Картка,
118,INV-000118,320,9,2023-07-24,2023-09-22,52239.494999999995,30 днів,Оплачено,2023-09-12,Готівка,
119,INV-000119,250,125,2023-04-20,2023-06-04,132264.9,45 днів,Прострочено,,,
120,INV-000120,544,43,2023-02-10,2023-04-11,83098.348,45 днів,Оплачено,2023-02-27,Картка,
121,INV-000121,511,116,2024-08-10,2024-10-09,12807.994999999997,1 Передоплата,Оплачено,2024-09-03,Банківський переказ,
122,INV-000122,436,37,2024-02-24,2024-04-24,116997.20999999999,60 днів,Прострочено,,,
123,INV-000123,366,22,2023-12-04,2024-01-03,174374.37,30 днів,Оплачено,2024-01-02,Готівка,Гуляти командувач мить наштовхнутися. Дружно зате виражений постійний зображати.
124,INV-000124,852,149,2024-01-12,2024-01-13,34608.672,60 днів,Оплачено,2024-01-13,Готівка,
125,INV-000125,371,66,2024-05-22,2024-06-21,77212.997,1 Передоплата,Оплачено,2024-05-24,Картка,
126,INV-000126,180,118,2024-10-15,2024-12-14,17674.750799999998,60 днів,Прострочено,,,
127,INV-000127,498,18,2024-10-30,2024-10-31,515008.8944,60 днів,Прострочено,,,
128,INV-000128,506,30,2023-02-05,2023-03-07,106229.124,60 днів,Оплачено,2023-02-08,Картка,
129,INV-000129,88,6,2023-06-12,2023-08-11,246441.14879999997,45 днів,Прострочено,,,
130,INV-000130,265,43,2023-06-29,2023-08-28,43263.594,30 днів,Оплачено,2023-08-25,Банківський переказ,
131,INV-000131,534,106,2024-09-23,2024-11-22,155376.54510000002,1 Передоплата,Прострочено,,,
132,INV-000132,805,15,2024-12-05,2025-01-19,91674.4338,45 днів,Оплачено,2025-01-07,Картка,
133,INV-000133,243,41,2024-02-03,2024-03-19,37182.617999999995,60 днів,Оплачено,2024-03-11,Картка,
134,INV-000134,819,117,2023-08-07,2023-10-06,16480.094399999998,1 Передоплата,Оплачено,2023-08-29,Готівка,
135,INV-000135,885,117,2024-02-19,2024-02-20,212829.8,60 днів,Оплачено,2024-02-20,Картка,Каюта палиця картинка поріг відділ образа свіжий. Реклама демократія поставити.
136,INV-000136,245,88,2024-10-05,2024-12-04,327771.18,1 Передоплата,Оплачено,2024-11-07,Готівка,
137,INV-000137,704,119,2024-08-09,2024-09-23,107107.5358,1 Передоплата,Оплачено,2024-08-10,Банківський переказ,
138,INV-000138,638,112,2024-03-08,2024-03-09,203546.5782,60 днів,Оплачено,2024-03-09,Картка,
139,INV-000139,465,89,2024-02-11,2024-02-12,402449.4144,1 Передоплата,Оплачено,2024-02-12,Готівка,
140,INV-000140,507,114,2023-03-20,2023-05-19,209832.9744,60 днів,Оплачено,2023-04-07,Готівка,
141,INV-000141,453,78,2024-12-20,2024-12-21,144187.1012,60 днів,Прострочено,,,
142,INV-000142,900,90,2023-01-15,2023-02-14,47179.5964,45 днів,Прострочено,,,Отже правильний зарплата пристрасть вчений щур.
143,INV-000143,469,115,2024-02-18,2024-04-18,13362.594000000001,60 днів,Оплачено,2024-04-08,Готівка,
144,INV-000144,963,73,2024-07-15,2024-09-13,54786.758400000006,30 днів,Оплачено,2024-08-16,Банківський переказ,
145,INV-000145,290,101,2023-09-04,2023-10-19,50464.2816,1 Передоплата,Оплачено,2023-09-16,Банківський переказ,Почуття м'який радість зелений хлопчисько чотири. ПірʼЯ домогтися домогтися бажання нині міра.
146,INV-000146,793,128,2023-06-14,2023-08-13,239203.4304,60 днів,Оплачено,2023-08-02,Готівка,Скинути лягати другий основа синок похорон синок. Незвичайний щось більше кільце.
147,INV-000147,383,60,2023-01-25,2023-03-11,3959.2200000000003,45 днів,Оплачено,2023-03-03,Готівка,
148,INV-000148,986,147,2023-11-26,2023-12-26,131317.9812,45 днів,Оплачено,2023-12-22,Готівка,
149,INV-000149,823,109,2023-07-14,2023-07-15,378611.38499999995,60 днів,Оплачено,2023-07-15,Готівка,
150,INV-000150,652,24,2023-09-02,2023-10-17,96167.5392,45 днів,Оплачено,2023-09-20,Банківський переказ,М'Який бочок й. Щастя художній камінчик степ командування.
151,INV-000151,139,27,2023-04-27,2023-04-28,46153.952999999994,45 днів,Оплачено,2023-04-28,Готівка,
152,INV-000152,445,27,2024-09-26,2024-09-27,369627.552,60 днів,Оплачено,2024-09-27,Готівка,
153,INV-000153,607,126,2023-08-09,2023-09-23,433885.056,30 днів,Оплачено,2023-09-04,Банківський переказ,Відповісти слати яскраво прірва кут фахівець. Ставити несподіваний гіркий потрясти їсти слати.
154,INV-000154,265,43,2023-06-29,2023-08-28,43263.594,45 днів,Оплачено,2023-07-11,Банківський переказ,
155,INV-000155,281,101,2023-08-31,2023-09-30,53923.9932,30 днів,Оплачено,2023-09-11,Картка,
156,INV-000156,712,79,2024-01-27,2024-02-26,18031.4464,60 днів,Оплачено,2024-02-16,Готівка,
157,INV-000157,931,64,2024-08-07,2024-09-06,548073.1428,30 днів,Оплачено,2024-09-05,Картка,Домогтися степ їсти блискучий. Покинути єдиний хлопчисько ламати.
158,INV-000158,401,6,2024-04-26,2024-06-25,378269.04000000004,1 Передоплата,Прострочено,,,
159,INV-000159,632,44,2023-08-25,2023-10-24,14517.923999999999,45 днів,Оплачено,2023-09-10,Картка,
160,INV-000160,993,129,2023-11-30,2023-12-01,138233.562,45 днів,Оплачено,2023-12-01,Готівка,
161,INV-000161,395,89,2024-10-06,2024-10-07,279606.081,1 Передоплата,Оплачено,2024-10-07,Банківський переказ,
162,INV-000162,290,101,2023-09-04,2023-10-19,50464.2816,60 днів,Оплачено,2023-09-15,Банківський переказ,Міра летіти головний вмирати. Протягувати господь хід гуляти уникати.
163,INV-000163,510,111,2024-05-06,2024-06-20,11436.705,1 Передоплата,Оплачено,2024-05-15,Готівка,
164,INV-000164,274,121,2023-12-29,2024-02-27,194918.15980000002,1 Передоплата,Оплачено,2024-01-28,Готівка,Виражений летіти уникати реклама товар метал. Уточнити міра потім колектив багаття раніше нервово.
165,INV-000165,706,86,2023-02-22,2023-04-23,318645.6,45 днів,Оплачено,2023-03-20,Банківський переказ,
166,INV-000166,184,76,2024-12-25,2025-02-23,158547.495,1 Передоплата,Очікує оплати,,,
167,INV-000167,765,112,2024-05-04,2024-06-18,165810.24000000002,45 днів,Оплачено,2024-05-12,Картка,
168,INV-000168,409,57,2023-02-03,2023-03-05,645950.676,60 днів,Оплачено,2023-02-12,Готівка,
169,INV-000169,927,53,2023-11-09,2023-12-09,13017.8656,1 Передоплата,Оплачено,2023-11-13,Банківський переказ,Очко плід мати заборонити функція встати поставити. Метал паща так приходити склянка господь товар.
170,INV-000170,316,123,2024-01-02,2024-01-03,139226.3475,45 днів,Оплачено,2024-01-03,Готівка,Нарада заборонити колишній головний очко століття. Пити мигнути кут.
171,INV-000171,297,115,2023-07-28,2023-09-26,226617.95520000003,1 Передоплата,Оплачено,2023-08-21,Готівка,
172,INV-000172,464,12,2023-01-13,2023-02-27,3534.5539,1 Передоплата,Оплачено,2023-02-13,Готівка,
173,INV-000173,389,4,2024-05-16,2024-05-17,37589.781599999995,45 днів,Оплачено,2024-05-17,Картка,
174,INV-000174,325,12,2024-04-11,2024-04-12,322618.37549999997,30 днів,Оплачено,2024-04-12,Картка,
175,INV-000175,745,108,2023-12-01,2024-01-30,76464.98879999999,45 днів,Оплачено,2024-01-24,Банківський переказ,
176,INV-000176,29,51,2023-05-21,2023-05-22,525815.3472000001,60 днів,Оплачено,2023-05-22,Картка,
177,INV-000177,415,100,2024-07-05,2024-08-19,28965.7365,45 днів,Оплачено,2024-07-08,Готівка,
178,INV-000178,193,79,2023-04-02,2023-05-17,292713.066,45 днів,Оплачено,2023-05-12,Готівка,Близько каюта приходити кпсс конструкція самостійно. Монета монета спорт народ кора чітко.
179,INV-000179,684,73,2024-12-19,2024-12-20,69835.8672,1 Передоплата,Прострочено,,,
180,INV-000180,631,65,2023-07-20,2023-07-21,68488.92,60 днів,Оплачено,2023-07-21,Банківський переказ,
181,INV-000181,736,2,2023-02-21,2023-03-23,33156.341400000005,60 днів,Оплачено,2023-03-16,Готівка,
182,INV-000182,127,146,2023-03-02,2023-04-01,137294.7464,45 днів,Оплачено,2023-03-18,Готівка,
183,INV-000183,653,119,2023-01-06,2023-02-05,368835.6672,1 Передоплата,Оплачено,2023-01-10,Готівка,
184,INV-000184,369,87,2023-11-17,2023-11-18,28755.144,60 днів,Оплачено,2023-11-18,Банківський переказ,
185,INV-000185,775,19,2023-08-07,2023-09-06,81184.0524,1 Передоплата,Оплачено,2023-08-24,Готівка,
186,INV-000186,600,118,2023-03-19,2023-03-20,191891.2545,60 днів,Оплачено,2023-03-20,Готівка,
187,INV-000187,442,63,2023-04-19,2023-06-18,120974.8572,45 днів,Оплачено,2023-05-23,Картка,
188,INV-000188,550,104,2024-11-08,2024-12-08,280547.4312,1 Передоплата,Оплачено,2024-11-21,Картка,
189,INV-000189,863,100,2023-04-03,2023-06-02,70524.48479999999,60 днів,Прострочено,,,
190,INV-000190,777,10,2024-01-25,2024-03-10,262585.477,60 днів,Оплачено,2024-02-01,Готівка,
191,INV-000191,954,85,2023-05-09,2023-06-23,334093.54,60 днів,Прострочено,,,
192,INV-000192,652,24,2023-09-02,2023-10-02,96167.5392,1 Передоплата,Оплачено,2023-09-27,Банківський переказ,
193,INV-000193,6,6,2024-09-30,2024-10-01,19794.5764,30 днів,Оплачено,2024-10-01,Банківський переказ,
194,INV-000194,138,28,2023-01-22,2023-02-21,40130.2629,1 Передоплата,Прострочено,,,
195,INV-000195,728,92,2024-08-13,2024-10-12,69946.3296,30 днів,Оплачено,2024-08-15,Картка,Відзначити порода болісно незручно. Палиця благати направо олівець потрясти.
196,INV-000196,885,117,2024-02-19,2024-02-20,212829.8,30 днів,Оплачено,2024-02-20,Готівка,Дихання настати вітрина склянка при блін перетнути. Пропаганда дошлий несподівано вибирати даль.
197,INV-000197,664,72,2023-03-03,2023-04-02,7508.2876,60 днів,Оплачено,2023-03-21,Банківський переказ,
198,INV-000198,570,54,2023-09-16,2023-09-17,220049.32950000002,45 днів,Прострочено,,,
199,INV-000199,786,130,2024-05-19,2024-07-18,80069.92,60 днів,Оплачено,2024-06-15,Банківський переказ,
200,INV-000200,6,6,2024-09-30,2024-10-30,19794.5764,30 днів,Оплачено,2024-10-11,Картка,Оборот летіти інтелектуальний кишеня ставити самостійно. Шкарпетка терапія підлога більше гіркий.
201,INV-000201,361,84,2024-11-30,2024-12-01,223427.24910000002,45 днів,Оплачено,2024-12-01,Готівка,Пробувати залучати вказаний. Самостійно близько намір занадто вчора палата зупинити.
202,INV-000202,986,147,2023-11-26,2024-01-25,131317.9812,45 днів,Оплачено,2024-01-03,Картка,Уникати художній палата байдужий підлога хліб. Кидати покидати витримати.
203,INV-000203,576,54,2023-11-23,2024-01-22,6025.692400000001,45 днів,Оплачено,2023-12-13,Банківський переказ,
204,INV-000204,645,139,2024-10-28,2024-10-29,75934.5912,45 днів,Оплачено,2024-10-29,Банківський переказ,Хата мати плавно кордон сумний. Олівець художній правий мигнути навряд.
205,INV-000205,291,59,2023-10-10,2023-11-24,10921.1456,30 днів,Оплачено,2023-10-13,Картка,Різноманітний палата покоління банда торгівля. Несподівано заборонити взагалі жорстокий.
206,INV-000206,924,126,2023-09-06,2023-11-05,95049.312,30 днів,Оплачено,2023-09-11,Картка,
207,INV-000207,854,59,2024-03-04,2024-04-03,262733.968,30 днів,Оплачено,2024-03-24,Готівка,
208,INV-000208,556,54,2023-03-10,2023-04-24,44193.39399999999,45 днів,Прострочено,,,
209,INV-000209,42,25,2024-09-14,2024-09-15,25036.1397,45 днів,Оплачено,2024-09-15,Картка,
210,INV-000210,257,37,2023-08-24,2023-08-25,64612.5654,30 днів,Оплачено,2023-08-25,Картка,Оборот й близько потягнутися. Комунізм заява команда рот процес ягода мотоцикл.
211,INV-000211,536,98,2024-09-06,2024-11-05,373039.39749999996,30 днів,Оплачено,2024-09-15,Банківський переказ,Лягати чотири вітрина валюта доба розлад. Зарплата жити ручка правління єврейський упустити.
212,INV-000212,814,79,2023-03-31,2023-04-30,35815.551,30 днів,Оплачено,2023-04-18,Картка,
213,INV-000213,963,73,2024-07-15,2024-08-29,54786.758400000006,45 днів,Прострочено,,,Триста правління який бігати. Польовий ніж серйозний хотіти знімати тривога вчора розстебнути.
214,INV-000214,786,130,2024-05-19,2024-07-03,80069.92,1 Передоплата,Оплачено,2024-06-19,Готівка,
215,INV-000215,761,63,2024-03-04,2024-05-03,72722.1495,30 днів,Оплачено,2024-05-02,Картка,
216,INV-000216,583,129,2024-09-14,2024-10-14,14895.1712,45 днів,Оплачено,2024-09-23,Банківський переказ,Услати через деякий роса насолода нервово. Сміливий поява редактор мати запустити знаходити.
217,INV-000217,693,35,2024-02-09,2024-04-09,5542.119,60 днів,Оплачено,2024-02-16,Картка,
218,INV-000218,971,60,2024-05-10,2024-06-24,214343.02889999998,1 Передоплата,Прострочено,,,
219,INV-000219,477,14,2023-04-28,2023-06-12,369440.63519999996,1 Передоплата,Оплачено,2023-05-23,Банківський переказ,
220,INV-000220,68,77,2024-05-02,2024-05-03,123695.43119999999,60 днів,Оплачено,2024-05-03,Картка,
221,INV-000221,924,126,2023-09-06,2023-10-21,95049.312,30 днів,Оплачено,2023-09-24,Готівка,
222,INV-000222,25,109,2023-12-06,2024-01-05,173906.096,30 днів,Оплачено,2023-12-29,Банківський переказ,
223,INV-000223,992,61,2023-10-28,2023-11-27,277057.585,1 Передоплата,Прострочено,,,
224,INV-000224,477,14,2023-04-28,2023-06-27,369440.63519999996,1 Передоплата,Оплачено,2023-06-26,Банківський переказ,
225,INV-000225,666,126,2024-07-18,2024-09-01,96314.62520000001,45 днів,Оплачено,2024-08-15,Готівка,
226,INV-000226,73,123,2024-11-10,2024-11-11,12712.0728,1 Передоплата,Прострочено,,,
