attendance_id,employee_id,date,status,time_in,time_out,hours_worked,overtime_hours,notes
20,156,2023-04-17,Присутній,2023-04-17 08:16:00,2023-04-17 17:32:00,8.24,0.24,
21,54,2024-12-18,Присутній,2024-12-18 09:46:00,2024-12-18 17:23:00,8.34,0.34,
22,122,2024-06-23,Вихідний,,,0.0,0.0,
23,16,2024-07-13,Вихідний,,,0.0,0.0,
24,179,2024-09-03,Присутній,2024-09-03 08:10:00,2024-09-03 17:18:00,7.76,0.0,
25,140,2023-09-12,Запізнення,2023-09-12 10:00:00,2023-09-12 17:00:00,6.79,0.0,
26,191,2021-10-18,Присутній,2021-10-18 09:00:00,2021-10-18 18:03:00,8.05,0.05,
27,92,2021-10-03,Вихідний,,,0.0,0.0,
28,86,2024-06-30,Вихідний,,,0.0,0.0,
29,4,2023-07-05,Присутній,2023-07-05 10:26:00,2023-07-05 17:34:00,8.3,0.3,
30,83,2024-06-02,Вихідний,,,0.0,0.0,Прохід зміна гідність суглоб купа. Заспівати зима демократія гуляти.
31,2,2024-04-29,Запізнення,2024-04-29 09:51:00,2024-04-29 18:39:00,6.23,0.0,Спосіб чотири призначити хід.
32,8,2021-12-17,Присутній,2021-12-17 08:18:00,2021-12-17 18:13:00,8.41,0.41,
33,116,2022-01-24,Присутній,2022-01-24 10:49:00,2022-01-24 18:48:00,7.7,0.0,
34,59,2023-10-09,Присутній,2023-10-09 08:12:00,2023-10-09 18:03:00,7.86,0.0,
35,194,2022-03-13,Вихідний,,,0.0,0.0,Крутий прихований оборот процес правління який.
36,131,2022-06-23,Запізнення,2022-06-23 08:17:00,2022-06-23 17:16:00,6.48,0.0,
37,12,2022-01-28,Присутній,2022-01-28 08:30:00,2022-01-28 18:25:00,7.64,0.0,МʼЯта грати командир. Боєць мета дрібниця правий рота здригнутися.
38,34,2024-12-28,Вихідний,,,0.0,0.0,Який валюта фахівець чітко. Коробка порт квапливий поріг співрозмовник.
39,56,2021-10-19,Присутній,2021-10-19 08:21:00,2021-10-19 17:12:00,7.72,0.0,
40,192,2024-07-26,Присутній,2024-07-26 09:16:00,2024-07-26 18:47:00,7.93,0.0,
41,36,2024-03-15,Присутній,2024-03-15 09:49:00,2024-03-15 17:26:00,7.56,0.0,
42,108,2024-05-26,Вихідний,,,0.0,0.0,
43,84,2024-02-27,Присутній,2024-02-27 09:50:00,2024-02-27 18:53:00,7.86,0.0,
44,1,2024-01-12,Відпустка,,,0.0,0.0,
45,50,2024-12-17,Присутній,2024-12-17 09:20:00,2024-12-17 19:59:00,8.46,0.46,
46,32,2024-06-18,Присутній,2024-06-18 10:16:00,2024-06-18 18:36:00,7.93,0.0,
47,6,2024-03-16,Вихідний,,,0.0,0.0,Нестерпний палата нині провал. Розводити присвятити що-небудь. Рот дальній пірʼя.
48,117,2023-09-01,Присутній,2023-09-01 10:09:00,2023-09-01 19:00:00,8.05,0.05,
49,21,2024-12-05,Присутній,2024-12-05 09:36:00,2024-12-05 17:48:00,8.12,0.12,Головка армійський від'їзд виконувати. Єврейський гіркий гідність домогтися.
50,116,2020-12-08,Присутній,2020-12-08 09:50:00,2020-12-08 19:03:00,8.17,0.17,
51,24,2023-11-13,Присутній,2023-11-13 09:48:00,2023-11-13 18:10:00,7.76,0.0,
52,95,2022-04-24,Вихідний,,,0.0,0.0,Шкарпетка хід незручно радити розкішний. Матерія художній вибирати картинка розгубитися аналіз.
53,106,2024-02-14,Присутній,2024-02-14 10:35:00,2024-02-14 19:27:00,7.74,0.0,
54,44,2024-12-22,Вихідний,,,0.0,0.0,Постійний неправда ґазда через монета заборонити. Природа зміна ламати зелений червонй незручно.
55,196,2024-09-29,Вихідний,,,0.0,0.0,
56,90,2022-10-26,Присутній,2022-10-26 08:43:00,2022-10-26 19:48:00,8.15,0.15,
57,97,2024-07-24,Присутній,2024-07-24 09:33:00,2024-07-24 17:10:00,8.46,0.46,
58,149,2023-10-19,Присутній,2023-10-19 08:59:00,2023-10-19 19:45:00,8.1,0.1,
59,109,2024-12-26,Присутній,2024-12-26 10:41:00,2024-12-26 19:49:00,8.49,0.49,
60,62,2023-12-13,Присутній,2023-12-13 08:08:00,2023-12-13 17:00:00,7.98,0.0,Заплакати програміст кидати. Правління перетнути метал прохід спорт.
61,51,2024-11-17,Вихідний,,,0.0,0.0,
62,28,2022-07-31,Вихідний,,,0.0,0.0,
63,21,2022-11-22,Відпустка,,,0.0,0.0,
64,114,2024-11-06,Присутній,2024-11-06 08:33:00,2024-11-06 18:47:00,8.16,0.16,
65,157,2024-12-28,Вихідний,,,0.0,0.0,
66,112,2022-12-24,Вихідний,,,0.0,0.0,
67,193,2024-07-14,Вихідний,,,0.0,0.0,Валюта адвокат перетнути брову забирати. Занадто казна-хто навряд народ єдиний яскраво.
68,46,2024-10-19,Вихідний,,,0.0,0.0,
69,30,2022-06-12,Вихідний,,,0.0,0.0,Гіркий виникнення головка лягати підкинути гідність сумний.
70,73,2022-05-10,Присутній,2022-05-10 08:44:00,2022-05-10 18:26:00,8.29,0.29,
71,133,2024-09-24,Присутній,2024-09-24 08:05:00,2024-09-24 19:14:00,7.92,0.0,
72,180,2024-01-21,Вихідний,,,0.0,0.0,
73,64,2023-04-27,Присутній,2023-04-27 09:31:00,2023-04-27 19:32:00,8.28,0.28,
74,9,2024-12-24,Присутній,2024-12-24 09:19:00,2024-12-24 17:03:00,8.23,0.23,
75,69,2024-05-26,Вихідний,,,0.0,0.0,
76,99,2024-06-23,Вихідний,,,0.0,0.0,Зате звільнення насолода прошепотіти зате. Фахівець подробиця похорон інтернет тривога кільце зима.
77,90,2023-06-12,Присутній,2023-06-12 10:57:00,2023-06-12 18:46:00,7.52,0.0,
78,197,2024-12-26,Присутній,2024-12-26 10:48:00,2024-12-26 17:06:00,8.44,0.44,
79,37,2023-03-08,Присутній,2023-03-08 09:21:00,2023-03-08 18:08:00,8.23,0.23,
80,156,2020-12-24,Присутній,2020-12-24 10:48:00,2020-12-24 19:06:00,8.23,0.23,
81,200,2024-12-10,Присутній,2024-12-10 10:11:00,2024-12-10 19:48:00,7.64,0.0,
82,75,2024-11-26,Присутній,2024-11-26 09:14:00,2024-11-26 18:52:00,7.82,0.0,
83,58,2024-03-16,Вихідний,,,0.0,0.0,
84,2,2024-09-01,Вихідний,,,0.0,0.0,Бочок червʼяк дихання рота вчора прем'єра трясти. М'Який ніж передо упустити валюта ставити.
85,155,2022-02-28,Присутній,2022-02-28 08:17:00,2022-02-28 17:00:00,8.44,0.44,
86,12,2020-10-11,Вихідний,,,0.0,0.0,
87,145,2024-12-11,Присутній,2024-12-11 10:36:00,2024-12-11 17:23:00,7.77,0.0,
88,197,2024-02-12,Присутній,2024-02-12 10:00:00,2024-02-12 19:40:00,8.26,0.26,
89,161,2024-12-28,Вихідний,,,0.0,0.0,
90,74,2024-11-28,Присутній,2024-11-28 08:54:00,2024-11-28 17:56:00,7.83,0.0,
91,39,2024-06-05,Присутній,2024-06-05 09:03:00,2024-06-05 18:12:00,7.76,0.0,
92,102,2024-06-27,Запізнення,2024-06-27 10:14:00,2024-06-27 17:13:00,6.23,0.0,
93,8,2023-05-10,Присутній,2023-05-10 10:01:00,2023-05-10 19:13:00,7.77,0.0,
94,62,2023-04-12,Відпустка,,,0.0,0.0,
95,194,2024-12-24,Присутній,2024-12-24 09:31:00,2024-12-24 17:17:00,7.56,0.0,
96,83,2023-12-29,Лікарняний,,,0.0,0.0,
97,156,2021-01-13,Присутній,2021-01-13 10:35:00,2021-01-13 17:42:00,7.75,0.0,Закласти затягнутися червень. Палата єврейський головка ніч прошепотіти.
98,46,2024-10-14,Присутній,2024-10-14 10:07:00,2024-10-14 17:45:00,7.81,0.0,
99,119,2023-04-01,Вихідний,,,0.0,0.0,
100,42,2024-10-30,Присутній,2024-10-30 08:35:00,2024-10-30 19:33:00,8.13,0.13,
101,130,2024-09-07,Вихідний,,,0.0,0.0,
102,108,2024-05-12,Вихідний,,,0.0,0.0,
103,15,2024-03-27,Присутній,2024-03-27 09:20:00,2024-03-27 18:48:00,7.91,0.0,
104,193,2021-07-26,Присутній,2021-07-26 09:20:00,2021-07-26 18:24:00,8.38,0.38,
105,138,2024-11-29,Присутній,2024-11-29 10:31:00,2024-11-29 19:29:00,7.96,0.0,
106,130,2024-04-13,Вихідний,,,0.0,0.0,
107,125,2024-01-15,Присутній,2024-01-15 10:08:00,2024-01-15 19:49:00,8.02,0.02,
108,68,2024-11-17,Вихідний,,,0.0,0.0,
109,43,2024-11-25,Присутній,2024-11-25 09:41:00,2024-11-25 17:42:00,7.8,0.0,
110,68,2023-10-23,Присутній,2023-10-23 10:17:00,2023-10-23 17:59:00,7.98,0.0,
111,141,2024-04-08,Присутній,2024-04-08 08:15:00,2024-04-08 17:38:00,7.83,0.0,
112,92,2022-12-28,Відпустка,,,0.0,0.0,
113,60,2023-10-07,Вихідний,,,0.0,0.0,
114,178,2022-10-13,Відпустка,,,0.0,0.0,Вперед чітко даль колектив міф лапа. Написати ніж колектив. Інструкція зрідка функція діловий.
115,194,2023-07-11,Присутній,2023-07-11 09:35:00,2023-07-11 17:36:00,8.01,0.01,Колишній конференція через правильний. Степ прошепотіти будівництво кордон.
116,193,2023-12-18,Присутній,2023-12-18 08:30:00,2023-12-18 17:56:00,8.01,0.01,
117,134,2021-10-18,Лікарняний,,,0.0,0.0,
118,176,2021-02-28,Вихідний,,,0.0,0.0,
119,199,2024-10-14,Присутній,2024-10-14 09:53:00,2024-10-14 17:53:00,7.58,0.0,
120,13,2022-03-21,Лікарняний,,,0.0,0.0,Щось мить інвалід блискучий сміятися.
121,197,2023-11-22,Присутній,2023-11-22 08:08:00,2023-11-22 17:57:00,7.78,0.0,
122,133,2024-03-05,Присутній,2024-03-05 10:27:00,2024-03-05 19:19:00,7.65,0.0,Подробиця ліловий князь заспівати світило. Метал вскакивать незручно простір брову господь олівець.
123,62,2023-10-11,Присутній,2023-10-11 09:37:00,2023-10-11 17:53:00,7.89,0.0,
124,192,2023-12-11,Присутній,2023-12-11 08:49:00,2023-12-11 18:15:00,8.01,0.01,
125,120,2024-08-18,Вихідний,,,0.0,0.0,
126,141,2024-05-15,Лікарняний,,,0.0,0.0,
127,171,2023-01-12,Присутній,2023-01-12 10:37:00,2023-01-12 18:16:00,7.8,0.0,
128,78,2024-02-17,Вихідний,,,0.0,0.0,
129,193,2023-05-24,Присутній,2023-05-24 08:55:00,2023-05-24 19:31:00,7.56,0.0,
130,71,2024-03-23,Вихідний,,,0.0,0.0,Вітрина дорогий єврейський район солома. Тютюн художній метал солома.
131,43,2022-07-30,Вихідний,,,0.0,0.0,
132,146,2023-07-10,Присутній,2023-07-10 09:19:00,2023-07-10 17:20:00,8.37,0.37,
133,2,2023-01-30,Присутній,2023-01-30 10:37:00,2023-01-30 17:00:00,8.16,0.16,
134,89,2024-12-21,Вихідний,,,0.0,0.0,Потягнутися співати кора отже. Провінція вибирати олівець сміятися запустити.
135,148,2024-12-08,Вихідний,,,0.0,0.0,
136,183,2022-10-26,Присутній,2022-10-26 08:03:00,2022-10-26 18:35:00,8.5,0.5,
137,134,2022-02-06,Вихідний,,,0.0,0.0,
138,98,2024-06-21,Запізнення,2024-06-21 10:51:00,2024-06-21 19:20:00,7.01,0.0,
139,38,2023-10-08,Вихідний,,,0.0,0.0,
140,12,2021-09-20,Запізнення,2021-09-20 09:42:00,2021-09-20 18:57:00,7.14,0.0,
141,147,2023-08-11,Присутній,2023-08-11 09:48:00,2023-08-11 17:28:00,7.58,0.0,
142,52,2023-02-21,Запізнення,2023-02-21 10:56:00,2023-02-21 19:02:00,6.32,0.0,
143,30,2024-03-06,Присутній,2024-03-06 10:01:00,2024-03-06 17:15:00,8.32,0.32,
144,186,2020-12-30,Присутній,2020-12-30 08:31:00,2020-12-30 17:09:00,7.59,0.0,
145,61,2024-02-16,Присутній,2024-02-16 08:44:00,2024-02-16 18:37:00,7.84,0.0,
146,100,2023-10-24,Присутній,2023-10-24 09:26:00,2023-10-24 18:34:00,7.78,0.0,
147,49,2021-12-30,Присутній,2021-12-30 10:04:00,2021-12-30 17:13:00,8.42,0.42,
148,111,2024-05-12,Вихідний,,,0.0,0.0,
149,144,2023-04-08,Вихідний,,,0.0,0.0,
150,187,2024-11-02,Вихідний,,,0.0,0.0,Досліджено висіти командувач ягода занадто прощення. Адже брову від'їзд близько вітрина.
151,12,2024-12-26,Запізнення,2024-12-26 09:48:00,2024-12-26 18:05:00,6.84,0.0,
152,159,2023-02-27,Присутній,2023-02-27 08:52:00,2023-02-27 18:33:00,7.56,0.0,
153,11,2023-07-02,Вихідний,,,0.0,0.0,
154,111,2024-02-26,Присутній,2024-02-26 09:45:00,2024-02-26 19:06:00,7.67,0.0,
155,11,2023-05-05,Присутній,2023-05-05 08:20:00,2023-05-05 18:29:00,8.25,0.25,
156,25,2022-08-07,Вихідний,,,0.0,0.0,Порівняння банк матерія так уникати хліб ніч.
157,63,2023-10-26,Присутній,2023-10-26 09:59:00,2023-10-26 18:07:00,8.28,0.28,
158,51,2024-11-25,Присутній,2024-11-25 09:25:00,2024-11-25 17:13:00,8.47,0.47,
159,160,2024-12-30,Присутній,2024-12-30 09:02:00,2024-12-30 19:02:00,8.47,0.47,
160,197,2024-01-17,Присутній,2024-01-17 10:20:00,2024-01-17 18:12:00,7.86,0.0,Розкішний важкий художній даль протягувати будівництво.
161,59,2023-10-13,Присутній,2023-10-13 10:11:00,2023-10-13 19:39:00,7.71,0.0,
162,53,2023-08-29,Присутній,2023-08-29 08:39:00,2023-08-29 18:01:00,8.18,0.18,Бетонний тисяча приятель ідея. Розлад ланцюжок монета.
163,46,2024-10-09,Відпустка,,,0.0,0.0,
164,172,2024-10-04,Присутній,2024-10-04 10:15:00,2024-10-04 18:05:00,7.67,0.0,
165,179,2022-02-28,Присутній,2022-02-28 09:27:00,2022-02-28 17:05:00,7.87,0.0,Червень тривога валюта. Редактор кидати черевик. Диявол шолом трубка мотоцикл місце услати.
166,152,2024-10-28,Присутній,2024-10-28 09:22:00,2024-10-28 18:00:00,7.98,0.0,
167,114,2022-01-24,Присутній,2022-01-24 10:57:00,2022-01-24 18:33:00,7.53,0.0,
168,103,2023-07-01,Вихідний,,,0.0,0.0,
169,42,2024-10-13,Вихідний,,,0.0,0.0,
170,130,2024-11-04,Присутній,2024-11-04 10:55:00,2024-11-04 19:31:00,7.7,0.0,
171,79,2020-12-28,Присутній,2020-12-28 09:10:00,2020-12-28 17:23:00,8.28,0.28,Потрясти черевик бок поїзд спорт адже бетонний. Танцювати близько кора кпсс.
172,86,2024-07-31,Присутній,2024-07-31 10:19:00,2024-07-31 17:47:00,8.38,0.38,
173,148,2023-08-14,Лікарняний,,,0.0,0.0,
174,115,2024-08-24,Вихідний,,,0.0,0.0,
175,8,2024-11-20,Присутній,2024-11-20 09:48:00,2024-11-20 19:52:00,7.87,0.0,
176,12,2021-09-14,Присутній,2021-09-14 10:56:00,2021-09-14 18:19:00,7.81,0.0,
177,124,2022-10-18,Присутній,2022-10-18 08:32:00,2022-10-18 17:05:00,8.4,0.4,
178,129,2024-08-21,Присутній,2024-08-21 10:00:00,2024-08-21 17:51:00,7.96,0.0,Район термін доба сміття помовчати. Сміття ланцюжок розуміти гуляти мить народ.
179,10,2024-12-23,Присутній,2024-12-23 08:16:00,2024-12-23 19:42:00,7.85,0.0,Вибирати купа житель терапія. Вираз звільнення брову банда диявол.
180,147,2020-09-30,Присутній,2020-09-30 10:36:00,2020-09-30 17:56:00,7.51,0.0,Радити черевик який незвичний. Аналіз блін рот бок. Холодно заклад демократія природа теорія.
181,193,2022-06-24,Присутній,2022-06-24 08:06:00,2022-06-24 19:59:00,8.3,0.3,Командир аналіз перед єдиний лапа низький теорія коричневий.
182,160,2024-12-11,Присутній,2024-12-11 10:49:00,2024-12-11 19:02:00,8.02,0.02,
183,176,2024-08-28,Лікарняний,,,0.0,0.0,
184,166,2023-09-06,Присутній,2023-09-06 08:40:00,2023-09-06 17:13:00,8.41,0.41,
185,35,2024-10-14,Присутній,2024-10-14 08:11:00,2024-10-14 18:34:00,8.13,0.13,
186,185,2023-09-21,Присутній,2023-09-21 08:26:00,2023-09-21 19:34:00,7.83,0.0,Через термін колишній іспит. Важкий присісти функція який.
187,126,2023-06-05,Присутній,2023-06-05 09:19:00,2023-06-05 17:03:00,7.94,0.0,
188,61,2024-07-25,Присутній,2024-07-25 09:06:00,2024-07-25 17:02:00,7.78,0.0,
189,111,2024-01-08,Присутній,2024-01-08 09:32:00,2024-01-08 19:42:00,7.93,0.0,
190,149,2022-11-02,Присутній,2022-11-02 09:21:00,2022-11-02 17:09:00,8.38,0.38,
191,27,2023-05-28,Вихідний,,,0.0,0.0,
192,59,2023-07-09,Вихідний,,,0.0,0.0,
193,48,2024-04-03,Присутній,2024-04-03 09:17:00,2024-04-03 18:44:00,7.73,0.0,
194,65,2023-12-27,Присутній,2023-12-27 09:01:00,2023-12-27 17:19:00,8.37,0.37,Заспокоїтися тьмяний кут промовчати розлад відділ вибирати терапія. Аналіз блискучий упустити.
195,139,2024-09-14,Вихідний,,,0.0,0.0,
196,162,2024-12-26,Присутній,2024-12-26 09:10:00,2024-12-26 19:11:00,7.52,0.0,
197,48,2024-12-27,Присутній,2024-12-27 10:17:00,2024-12-27 17:43:00,7.86,0.0,
198,137,2023-12-19,Присутній,2023-12-19 10:54:00,2023-12-19 18:15:00,8.33,0.33,Епоха склянка ягода бажання метал міф важкий. Збудження ідея другий. Близько казна-хто м'який.
199,96,2024-05-31,Присутній,2024-05-31 10:58:00,2024-05-31 19:23:00,7.62,0.0,Зелений новий хід нарада. Через вперед багряний.
200,182,2024-07-08,Лікарняний,,,0.0,0.0,Сміття гідність що валюта. Степ валюта уточнити райком отже більше.
201,142,2023-09-21,Присутній,2023-09-21 08:10:00,2023-09-21 17:46:00,8.4,0.4,
202,84,2022-07-24,Вихідний,,,0.0,0.0,
203,158,2024-04-26,Присутній,2024-04-26 10:56:00,2024-04-26 18:28:00,7.99,0.0,
204,139,2024-12-22,Вихідний,,,0.0,0.0,
205,135,2024-03-03,Вихідний,,,0.0,0.0,Актриса міра страта означати здригнутися. Гараж так пристрасть здригнутися.
206,2,2022-10-12,Присутній,2022-10-12 08:35:00,2022-10-12 17:58:00,7.77,0.0,
207,146,2023-09-27,Присутній,2023-09-27 08:33:00,2023-09-27 19:53:00,8.47,0.47,
208,176,2023-04-21,Присутній,2023-04-21 08:53:00,2023-04-21 18:12:00,7.53,0.0,
209,183,2023-01-03,Присутній,2023-01-03 09:05:00,2023-01-03 18:55:00,8.35,0.35,Пропаганда художній небезпека серйозний гараж. Комунізм оборот угодний.
210,56,2024-10-10,Присутній,2024-10-10 08:32:00,2024-10-10 19:47:00,8.2,0.2,
211,85,2024-03-18,Присутній,2024-03-18 08:44:00,2024-03-18 17:31:00,8.21,0.21,
212,191,2021-06-05,Вихідний,,,0.0,0.0,
213,38,2023-04-30,Вихідний,,,0.0,0.0,Місце тьмяний запустити пані. Район пропадати подвірʼя актриса деякий супроводжуватися залучати.
214,19,2024-10-25,Присутній,2024-10-25 09:05:00,2024-10-25 19:07:00,7.97,0.0,
215,122,2023-07-05,Присутній,2023-07-05 08:23:00,2023-07-05 19:11:00,7.97,0.0,
216,149,2022-08-23,Присутній,2022-08-23 09:09:00,2022-08-23 19:31:00,7.56,0.0,
217,23,2021-09-30,Лікарняний,,,0.0,0.0,
218,194,2022-03-09,Присутній,2022-03-09 08:01:00,2022-03-09 19:56:00,7.53,0.0,
219,94,2023-12-04,Присутній,2023-12-04 10:12:00,2023-12-04 17:27:00,7.64,0.0,"Ніж здригнутися тьмяний грати мета. Іспит болісно легко м'який.
Повністю художній викинути висіти."
220,136,2023-12-15,Присутній,2023-12-15 08:33:00,2023-12-15 18:33:00,8.02,0.02,Загроза правління різноманітний. Важливий різноманітний кишеня неправда.
221,117,2024-03-28,Присутній,2024-03-28 08:27:00,2024-03-28 17:40:00,8.09,0.09,Хліб пристрасть за потрясти. Командир інвалід й кишеня боєць.
222,30,2024-08-29,Присутній,2024-08-29 08:49:00,2024-08-29 17:30:00,7.53,0.0,
223,153,2024-12-22,Вихідний,,,0.0,0.0,
224,106,2024-07-31,Присутній,2024-07-31 08:42:00,2024-07-31 19:04:00,7.61,0.0,
225,185,2024-06-01,Вихідний,,,0.0,0.0,
226,13,2024-05-12,Вихідний,,,0.0,0.0,
227,125,2024-07-18,Запізнення,2024-07-18 08:59:00,2024-07-18 19:30:00,6.29,0.0,Червень навряд шкільний висіти витягувати. Розстебнути адвокат червонй труп насолода лівий.
228,5,2021-12-17,Присутній,2021-12-17 10:20:00,2021-12-17 19:21:00,7.5,0.0,
229,70,2022-08-21,Вихідний,,,0.0,0.0,
230,123,2022-12-24,Вихідний,,,0.0,0.0,
231,45,2024-07-28,Вихідний,,,0.0,0.0,Їсти помовчати приятель бігати. Інтелектуальний тривога ланцюжок.
232,110,2023-11-17,Присутній,2023-11-17 09:32:00,2023-11-17 19:46:00,8.09,0.09,
233,2,2022-06-12,Вихідний,,,0.0,0.0,Груди деякий кордон самостійно трясти танцювати слати. ЧервʼЯк їжа академік пісня спасти.
234,73,2023-04-08,Вихідний,,,0.0,0.0,
235,130,2024-01-13,Вихідний,,,0.0,0.0,
236,32,2023-10-18,Присутній,2023-10-18 09:36:00,2023-10-18 19:24:00,7.74,0.0,
237,75,2024-11-09,Вихідний,,,0.0,0.0,Домогтися самостійно солома. Дрібниця світило їсти валюта пристойний недолік виконувати заклад.
238,144,2023-07-11,Присутній,2023-07-11 10:01:00,2023-07-11 18:26:00,8.0,0.0,Місце їсти камінчик пані підлога палиця райком. Матерія хлопчисько відділ.
239,15,2024-10-13,Вихідний,,,0.0,0.0,
240,20,2024-11-26,Присутній,2024-11-26 10:29:00,2024-11-26 19:37:00,7.99,0.0,
241,45,2024-12-20,Присутній,2024-12-20 08:04:00,2024-12-20 18:25:00,8.49,0.49,
242,8,2023-12-27,Присутній,2023-12-27 10:47:00,2023-12-27 17:35:00,7.63,0.0,
243,183,2022-05-11,Лікарняний,,,0.0,0.0,
244,125,2024-09-26,Присутній,2024-09-26 08:46:00,2024-09-26 19:09:00,8.46,0.46,
245,98,2022-11-20,Вихідний,,,0.0,0.0,
246,179,2024-10-13,Вихідний,,,0.0,0.0,
247,21,2023-04-22,Вихідний,,,0.0,0.0,
248,79,2023-04-14,Присутній,2023-04-14 08:01:00,2023-04-14 17:52:00,7.54,0.0,
249,155,2024-10-30,Присутній,2024-10-30 08:07:00,2024-10-30 18:00:00,7.64,0.0,
250,40,2024-08-01,Присутній,2024-08-01 09:24:00,2024-08-01 18:57:00,7.86,0.0,Гіркий конструкція задерти отже засунути. Князь гараж розуміти викинути.
251,109,2024-03-08,Присутній,2024-03-08 09:13:00,2024-03-08 18:44:00,7.7,0.0,
252,153,2024-12-26,Присутній,2024-12-26 09:25:00,2024-12-26 19:18:00,7.62,0.0,Нервово застосовуватися слати іспит командир. Заспокоїтися виражений солома написати.
253,90,2023-10-12,Запізнення,2023-10-12 08:56:00,2023-10-12 18:40:00,6.11,0.0,Кпсс казна-хто вигнати пані. Можливо військовий вечір купа-невеличка виконувати недолік.
254,1,2023-04-05,Присутній,2023-04-05 08:57:00,2023-04-05 17:05:00,7.8,0.0,
255,160,2024-12-24,Присутній,2024-12-24 09:28:00,2024-12-24 19:13:00,7.81,0.0,
256,96,2024-02-03,Вихідний,,,0.0,0.0,
257,91,2023-12-25,Присутній,2023-12-25 10:49:00,2023-12-25 17:05:00,7.83,0.0,Витримати здригатися кпсс гіркий вечір голубчик. Запустити кордон господь колектив пропаганда.
258,18,2024-05-12,Вихідний,,,0.0,0.0,
259,65,2020-09-18,Присутній,2020-09-18 10:34:00,2020-09-18 18:07:00,7.69,0.0,
260,84,2023-12-19,Присутній,2023-12-19 10:38:00,2023-12-19 19:33:00,8.09,0.09,
261,40,2024-12-08,Вихідний,,,0.0,0.0,
262,174,2021-01-31,Вихідний,,,0.0,0.0,
263,66,2023-07-24,Присутній,2023-07-24 09:45:00,2023-07-24 18:23:00,7.55,0.0,"Деякий командувач безглуздий написати висіти.
Багряний прощення художній наштовхнутися."
264,46,2024-12-20,Лікарняний,,,0.0,0.0,
265,154,2024-12-02,Присутній,2024-12-02 09:02:00,2024-12-02 19:48:00,7.54,0.0,
266,13,2024-12-25,Присутній,2024-12-25 09:47:00,2024-12-25 18:09:00,8.3,0.3,Поява купа-невеличка податковий навіщо підземний актриса. Академік так жити ґудзик.
267,134,2022-11-01,Присутній,2022-11-01 09:00:00,2022-11-01 18:03:00,7.95,0.0,
268,198,2024-12-11,Запізнення,2024-12-11 10:42:00,2024-12-11 19:36:00,6.32,0.0,
269,141,2024-07-02,Присутній,2024-07-02 08:00:00,2024-07-02 17:23:00,7.64,0.0,
270,155,2022-05-27,Присутній,2022-05-27 09:35:00,2022-05-27 18:48:00,7.7,0.0,
271,161,2024-12-30,Присутній,2024-12-30 10:41:00,2024-12-30 17:56:00,8.26,0.26,
272,131,2023-11-30,Відпустка,,,0.0,0.0,Пропадати правильний ґудзик головний труп. Солома мʼята мільярд услати правий затримати вчений.
273,119,2020-11-25,Присутній,2020-11-25 09:07:00,2020-11-25 17:28:00,8.21,0.21,
274,187,2021-09-02,Присутній,2021-09-02 10:07:00,2021-09-02 18:58:00,7.73,0.0,
275,190,2024-11-29,Присутній,2024-11-29 09:20:00,2024-11-29 17:15:00,7.62,0.0,
276,170,2021-02-10,Присутній,2021-02-10 10:25:00,2021-02-10 18:18:00,8.42,0.42,Відділ шкільний палиця.
